NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;3;3;6;4;5650;100;4;100;
18;3;3;6;4;5650;100;1;100;
18;3;3;6;4;5650;100;3;100;
18;3;3;6;2;75;100;2;100;
18;3;3;6;5;42102;100;3;100;
18;3;3;6;1;6;100;0;100;
18;3;3;6;5;42102;100;0;100;
18;3;3;6;1;6;100;4;20;
18;3;3;6;4;5650;100;5;100;
18;3;3;6;2;75;100;1;100;
18;3;3;6;5;42102;100;1;100;
18;3;3;6;1;6;100;2;61;
18;3;3;6;1;6;100;3;39;
18;3;3;6;3;689;100;0;100;
18;3;3;6;3;689;100;4;100;
18;3;3;6;4;5650;100;2;100;
18;3;3;6;2;75;100;5;71;
18;3;3;6;3;689;100;1;100;
18;3;3;6;2;75;100;4;97;
18;3;3;6;3;689;100;3;100;
18;3;3;6;3;689;100;5;100;
18;3;3;6;3;689;100;2;100;
18;3;3;6;5;42102;100;2;100;
18;3;3;6;2;75;100;0;100;
18;3;3;6;2;75;100;3;99;
18;3;3;6;1;6;100;5;3;
18;3;3;6;5;42102;100;5;100;
18;3;3;6;5;42102;100;4;100;
18;3;3;6;1;6;100;1;90;
18;3;3;6;4;5650;100;0;100;
