NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;1;6;2;11;100;2;86;
30;1;1;6;5;200;100;2;100;
30;1;1;6;4;80;100;4;97;
30;1;1;6;2;11;100;5;14;
30;1;1;6;4;80;100;0;100;
30;1;1;6;5;200;100;1;100;
30;1;1;6;3;28;100;5;46;
30;1;1;6;4;80;100;3;100;
30;1;1;6;2;11;100;3;60;
30;1;1;6;3;28;100;2;100;
30;1;1;6;5;200;100;5;99;
30;1;1;6;4;80;100;1;100;
30;1;1;6;1;2;100;2;29;
30;1;1;6;5;200;100;0;100;
30;1;1;6;2;11;100;0;100;
30;1;1;6;3;28;100;0;100;
30;1;1;6;4;80;100;5;78;
30;1;1;6;3;28;100;3;87;
30;1;1;6;5;200;100;3;100;
30;1;1;6;1;2;100;3;12;
30;1;1;6;1;2;100;1;57;
30;1;1;6;1;2;100;5;4;
30;1;1;6;2;11;100;4;31;
30;1;1;6;1;2;100;4;10;
30;1;1;6;3;28;100;1;100;
30;1;1;6;2;11;100;1;100;
30;1;1;6;3;28;100;4;73;
30;1;1;6;4;80;100;2;100;
30;1;1;6;5;200;100;4;100;
30;1;1;6;1;2;100;0;100;
