NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;5;1;6;2;75;100;1;100;
18;5;1;6;1;6;100;4;47;
18;5;1;6;2;75;100;2;100;
18;5;1;6;3;689;100;0;100;
18;5;1;6;1;6;100;3;60;
18;5;1;6;2;75;100;3;100;
18;5;1;6;5;42102;100;0;100;
18;5;1;6;3;689;100;4;100;
18;5;1;6;5;42102;100;2;100;
18;5;1;6;3;689;100;1;100;
18;5;1;6;4;5650;100;2;100;
18;5;1;6;3;689;100;5;100;
18;5;1;6;1;6;100;1;86;
18;5;1;6;4;5650;100;0;100;
18;5;1;6;5;42102;100;4;100;
18;5;1;6;4;5650;100;4;100;
18;5;1;6;3;689;100;2;100;
18;5;1;6;2;75;100;4;100;
18;5;1;6;3;689;100;3;100;
18;5;1;6;5;42102;100;3;100;
18;5;1;6;5;42102;100;5;100;
18;5;1;6;2;75;100;0;100;
18;5;1;6;2;75;100;5;100;
18;5;1;6;4;5650;100;5;100;
18;5;1;6;1;6;100;5;41;
18;5;1;6;5;42102;100;1;100;
18;5;1;6;4;5650;100;1;100;
18;5;1;6;4;5650;100;3;100;
18;5;1;6;1;6;100;0;100;
18;5;1;6;1;6;100;2;61;
