NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;3;6;3;232;100;1;100;
24;1;3;6;1;4;100;4;1;
24;1;3;6;4;1298;100;0;100;
24;1;3;6;2;40;100;5;4;
24;1;3;6;2;40;100;0;100;
24;1;3;6;1;4;100;3;6;
24;1;3;6;5;6629;100;2;100;
24;1;3;6;3;232;100;2;100;
24;1;3;6;5;6629;100;3;100;
24;1;3;6;3;232;100;3;97;
24;1;3;6;3;232;100;4;51;
24;1;3;6;4;1298;100;1;100;
24;1;3;6;4;1298;100;4;99;
24;1;3;6;5;6629;100;1;100;
24;1;3;6;3;232;100;5;17;
24;1;3;6;4;1298;100;5;67;
24;1;3;6;5;6629;100;5;100;
24;1;3;6;3;232;100;0;100;
24;1;3;6;2;40;100;2;96;
24;1;3;6;4;1298;100;2;100;
24;1;3;6;2;40;100;3;41;
24;1;3;6;5;6629;100;0;100;
24;1;3;6;2;40;100;1;100;
24;1;3;6;1;4;100;5;0;
24;1;3;6;1;4;100;1;77;
24;1;3;6;1;4;100;0;100;
24;1;3;6;5;6629;100;4;100;
24;1;3;6;2;40;100;4;8;
24;1;3;6;4;1298;100;3;100;
24;1;3;6;1;4;100;2;14;
