NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;5;6;2;67;100;5;1;
12;1;5;6;1;6;100;5;0;
12;1;5;6;4;4295;100;4;97;
12;1;5;6;3;564;100;5;5;
12;1;5;6;1;6;100;3;2;
12;1;5;6;1;6;100;1;86;
12;1;5;6;2;67;100;2;93;
12;1;5;6;5;29645;100;0;100;
12;1;5;6;5;29645;100;3;100;
12;1;5;6;2;67;100;4;9;
12;1;5;6;4;4295;100;2;100;
12;1;5;6;3;564;100;0;100;
12;1;5;6;3;564;100;3;93;
12;1;5;6;4;4295;100;1;100;
12;1;5;6;1;6;100;2;15;
12;1;5;6;5;29645;100;1;100;
12;1;5;6;4;4295;100;5;36;
12;1;5;6;4;4295;100;0;100;
12;1;5;6;5;29645;100;2;100;
12;1;5;6;3;564;100;2;100;
12;1;5;6;5;29645;100;4;100;
12;1;5;6;5;29645;100;5;100;
12;1;5;6;2;67;100;1;100;
12;1;5;6;4;4295;100;3;100;
12;1;5;6;2;67;100;0;100;
12;1;5;6;3;564;100;1;100;
12;1;5;6;1;6;100;0;100;
12;1;5;6;3;564;100;4;30;
12;1;5;6;2;67;100;3;33;
12;1;5;6;1;6;100;4;1;
