NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;2;6;1;3;100;3;8;
24;1;2;6;4;396;100;4;99;
24;1;2;6;4;396;100;3;100;
24;1;2;6;5;1513;100;0;100;
24;1;2;6;1;3;100;2;20;
24;1;2;6;5;1513;100;1;100;
24;1;2;6;1;3;100;5;2;
24;1;2;6;2;21;100;1;100;
24;1;2;6;5;1513;100;4;100;
24;1;2;6;1;3;100;4;5;
24;1;2;6;4;396;100;5;69;
24;1;2;6;5;1513;100;3;100;
24;1;2;6;3;98;100;1;100;
24;1;2;6;1;3;100;0;100;
24;1;2;6;4;396;100;1;100;
24;1;2;6;4;396;100;0;100;
24;1;2;6;3;98;100;2;100;
24;1;2;6;2;21;100;3;44;
24;1;2;6;3;98;100;3;95;
24;1;2;6;5;1513;100;5;99;
24;1;2;6;2;21;100;5;7;
24;1;2;6;2;21;100;0;100;
24;1;2;6;5;1513;100;2;100;
24;1;2;6;3;98;100;0;100;
24;1;2;6;2;21;100;4;17;
24;1;2;6;3;98;100;4;55;
24;1;2;6;1;3;100;1;65;
24;1;2;6;4;396;100;2;100;
24;1;2;6;3;98;100;5;16;
24;1;2;6;2;21;100;2;91;
