NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;2;1;6;2;23;100;1;100;
30;2;1;6;5;1715;100;0;100;
30;2;1;6;5;1715;100;2;100;
30;2;1;6;5;1715;100;4;100;
30;2;1;6;5;1715;100;5;100;
30;2;1;6;1;3;100;4;27;
30;2;1;6;3;106;100;3;100;
30;2;1;6;2;23;100;5;69;
30;2;1;6;4;446;100;5;100;
30;2;1;6;4;446;100;1;100;
30;2;1;6;3;106;100;4;100;
30;2;1;6;1;3;100;0;100;
30;2;1;6;3;106;100;2;100;
30;2;1;6;3;106;100;5;99;
30;2;1;6;1;3;100;2;52;
30;2;1;6;1;3;100;3;31;
30;2;1;6;5;1715;100;3;100;
30;2;1;6;2;23;100;4;91;
30;2;1;6;2;23;100;0;100;
30;2;1;6;2;23;100;2;100;
30;2;1;6;4;446;100;0;100;
30;2;1;6;3;106;100;0;100;
30;2;1;6;1;3;100;1;70;
30;2;1;6;2;23;100;3;99;
30;2;1;6;5;1715;100;1;100;
30;2;1;6;4;446;100;4;100;
30;2;1;6;3;106;100;1;100;
30;2;1;6;4;446;100;2;100;
30;2;1;6;1;3;100;5;18;
30;2;1;6;4;446;100;3;100;
