NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;4;1;6;5;11889;100;5;100;
12;4;1;6;3;329;100;5;100;
12;4;1;6;3;329;100;0;100;
12;4;1;6;1;5;100;1;85;
12;4;1;6;1;5;100;0;100;
12;4;1;6;5;11889;100;3;100;
12;4;1;6;4;2068;100;2;100;
12;4;1;6;2;48;100;2;100;
12;4;1;6;4;2068;100;5;100;
12;4;1;6;2;48;100;1;100;
12;4;1;6;2;48;100;5;98;
12;4;1;6;5;11889;100;0;100;
12;4;1;6;3;329;100;2;100;
12;4;1;6;5;11889;100;2;100;
12;4;1;6;4;2068;100;0;100;
12;4;1;6;1;5;100;2;54;
12;4;1;6;5;11889;100;1;100;
12;4;1;6;4;2068;100;3;100;
12;4;1;6;3;329;100;1;100;
12;4;1;6;2;48;100;0;100;
12;4;1;6;3;329;100;4;100;
12;4;1;6;1;5;100;3;65;
12;4;1;6;1;5;100;5;39;
12;4;1;6;2;48;100;3;100;
12;4;1;6;1;5;100;4;41;
12;4;1;6;4;2068;100;4;100;
12;4;1;6;2;48;100;4;100;
12;4;1;6;5;11889;100;4;100;
12;4;1;6;3;329;100;3;100;
12;4;1;6;4;2068;100;1;100;
