NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;2;6;2;23;100;4;19;
30;1;2;6;5;1715;100;0;100;
30;1;2;6;3;106;100;0;100;
30;1;2;6;2;23;100;5;6;
30;1;2;6;1;3;100;0;100;
30;1;2;6;4;446;100;5;80;
30;1;2;6;1;3;100;1;69;
30;1;2;6;1;3;100;5;0;
30;1;2;6;1;3;100;3;6;
30;1;2;6;4;446;100;4;100;
30;1;2;6;3;106;100;4;69;
30;1;2;6;2;23;100;0;100;
30;1;2;6;3;106;100;5;36;
30;1;2;6;5;1715;100;1;100;
30;1;2;6;4;446;100;1;100;
30;1;2;6;4;446;100;0;100;
30;1;2;6;5;1715;100;4;100;
30;1;2;6;2;23;100;2;96;
30;1;2;6;3;106;100;2;100;
30;1;2;6;2;23;100;3;49;
30;1;2;6;4;446;100;3;100;
30;1;2;6;1;3;100;4;3;
30;1;2;6;3;106;100;1;100;
30;1;2;6;1;3;100;2;29;
30;1;2;6;2;23;100;1;100;
30;1;2;6;3;106;100;3;96;
30;1;2;6;4;446;100;2;100;
30;1;2;6;5;1715;100;5;99;
30;1;2;6;5;1715;100;2;100;
30;1;2;6;5;1715;100;3;100;
