NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;1;4;6;1;5;100;2;15;
18;1;4;6;2;54;100;3;31;
18;1;4;6;3;401;100;4;42;
18;1;4;6;2;54;100;1;100;
18;1;4;6;4;2725;100;0;100;
18;1;4;6;5;16843;100;0;100;
18;1;4;6;2;54;100;5;2;
18;1;4;6;4;2725;100;5;53;
18;1;4;6;5;16843;100;1;100;
18;1;4;6;1;5;100;0;100;
18;1;4;6;5;16843;100;4;100;
18;1;4;6;3;401;100;2;100;
18;1;4;6;1;5;100;1;82;
18;1;4;6;1;5;100;3;0;
18;1;4;6;5;16843;100;2;100;
18;1;4;6;4;2725;100;4;100;
18;1;4;6;1;5;100;5;0;
18;1;4;6;3;401;100;5;4;
18;1;4;6;5;16843;100;3;100;
18;1;4;6;5;16843;100;5;100;
18;1;4;6;3;401;100;0;100;
18;1;4;6;4;2725;100;3;100;
18;1;4;6;4;2725;100;1;100;
18;1;4;6;3;401;100;3;98;
18;1;4;6;2;54;100;4;12;
18;1;4;6;1;5;100;4;0;
18;1;4;6;4;2725;100;2;100;
18;1;4;6;3;401;100;1;100;
18;1;4;6;2;54;100;0;100;
18;1;4;6;2;54;100;2;95;
