NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;3;6;5;7555;100;0;100;
30;1;3;6;1;4;100;1;79;
30;1;3;6;4;1448;100;5;61;
30;1;3;6;3;255;100;5;19;
30;1;3;6;1;4;100;5;0;
30;1;3;6;2;41;100;1;100;
30;1;3;6;2;41;100;2;93;
30;1;3;6;5;7555;100;3;100;
30;1;3;6;3;255;100;4;56;
30;1;3;6;5;7555;100;5;100;
30;1;3;6;4;1448;100;3;100;
30;1;3;6;3;255;100;3;99;
30;1;3;6;2;41;100;0;100;
30;1;3;6;2;41;100;4;11;
30;1;3;6;1;4;100;2;14;
30;1;3;6;2;41;100;5;2;
30;1;3;6;4;1448;100;4;100;
30;1;3;6;5;7555;100;4;100;
30;1;3;6;4;1448;100;2;100;
30;1;3;6;3;255;100;1;100;
30;1;3;6;1;4;100;4;0;
30;1;3;6;2;41;100;3;37;
30;1;3;6;3;255;100;2;100;
30;1;3;6;1;4;100;0;100;
30;1;3;6;3;255;100;0;100;
30;1;3;6;4;1448;100;1;100;
30;1;3;6;4;1448;100;0;100;
30;1;3;6;5;7555;100;1;100;
30;1;3;6;5;7555;100;2;100;
30;1;3;6;1;4;100;3;6;
