NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;1;6;2;8;100;0;100;
12;1;1;6;2;8;100;3;45;
12;1;1;6;3;19;100;5;31;
12;1;1;6;5;105;100;3;100;
12;1;1;6;5;105;100;4;100;
12;1;1;6;1;2;100;5;5;
12;1;1;6;1;2;100;4;8;
12;1;1;6;3;19;100;1;100;
12;1;1;6;5;105;100;2;100;
12;1;1;6;4;47;100;5;69;
12;1;1;6;4;47;100;2;100;
12;1;1;6;4;47;100;4;96;
12;1;1;6;1;2;100;0;100;
12;1;1;6;4;47;100;0;100;
12;1;1;6;2;8;100;2;75;
12;1;1;6;2;8;100;4;28;
12;1;1;6;5;105;100;0;100;
12;1;1;6;3;19;100;0;100;
12;1;1;6;1;2;100;1;51;
12;1;1;6;5;105;100;5;87;
12;1;1;6;1;2;100;3;8;
12;1;1;6;2;8;100;1;100;
12;1;1;6;4;47;100;1;100;
12;1;1;6;5;105;100;1;100;
12;1;1;6;3;19;100;3;83;
12;1;1;6;4;47;100;3;100;
12;1;1;6;2;8;100;5;12;
12;1;1;6;3;19;100;4;46;
12;1;1;6;1;2;100;2;28;
12;1;1;6;3;19;100;2;100;
