NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;5;6;3;786;100;5;10;
24;1;5;6;4;6662;100;3;100;
24;1;5;6;4;6662;100;0;100;
24;1;5;6;5;51287;100;3;100;
24;1;5;6;4;6662;100;2;100;
24;1;5;6;3;786;100;2;100;
24;1;5;6;2;83;100;2;97;
24;1;5;6;1;6;100;1;76;
24;1;5;6;3;786;100;0;100;
24;1;5;6;2;83;100;0;100;
24;1;5;6;1;6;100;5;0;
24;1;5;6;4;6662;100;1;100;
24;1;5;6;3;786;100;1;100;
24;1;5;6;4;6662;100;4;100;
24;1;5;6;1;6;100;3;4;
24;1;5;6;3;786;100;4;43;
24;1;5;6;3;786;100;3;97;
24;1;5;6;5;51287;100;4;100;
24;1;5;6;5;51287;100;0;100;
24;1;5;6;5;51287;100;1;100;
24;1;5;6;1;6;100;2;16;
24;1;5;6;2;83;100;1;100;
24;1;5;6;2;83;100;3;31;
24;1;5;6;5;51287;100;2;100;
24;1;5;6;1;6;100;4;0;
24;1;5;6;2;83;100;5;0;
24;1;5;6;4;6662;100;5;51;
24;1;5;6;5;51287;100;5;100;
24;1;5;6;2;83;100;4;5;
24;1;5;6;1;6;100;0;100;
