NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;3;1;6;1;4;100;0;100;
12;3;1;6;5;3854;100;2;100;
12;3;1;6;3;170;100;1;100;
12;3;1;6;4;835;100;0;100;
12;3;1;6;1;4;100;1;72;
12;3;1;6;2;31;100;2;100;
12;3;1;6;2;31;100;3;100;
12;3;1;6;3;170;100;0;100;
12;3;1;6;4;835;100;2;100;
12;3;1;6;4;835;100;4;100;
12;3;1;6;4;835;100;5;100;
12;3;1;6;1;4;100;4;27;
12;3;1;6;5;3854;100;3;100;
12;3;1;6;5;3854;100;5;100;
12;3;1;6;2;31;100;1;100;
12;3;1;6;5;3854;100;0;100;
12;3;1;6;3;170;100;3;100;
12;3;1;6;3;170;100;5;100;
12;3;1;6;2;31;100;4;100;
12;3;1;6;1;4;100;5;25;
12;3;1;6;5;3854;100;1;100;
12;3;1;6;3;170;100;4;100;
12;3;1;6;4;835;100;1;100;
12;3;1;6;3;170;100;2;100;
12;3;1;6;1;4;100;3;51;
12;3;1;6;2;31;100;5;94;
12;3;1;6;5;3854;100;4;100;
12;3;1;6;2;31;100;0;100;
12;3;1;6;4;835;100;3;100;
12;3;1;6;1;4;100;2;60;
