NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;2;1;6;1;3;100;3;33;
18;2;1;6;2;20;100;1;100;
18;2;1;6;3;88;100;2;100;
18;2;1;6;4;336;100;5;100;
18;2;1;6;1;3;100;0;100;
18;2;1;6;2;20;100;4;84;
18;2;1;6;5;1241;100;2;100;
18;2;1;6;5;1241;100;4;100;
18;2;1;6;5;1241;100;3;100;
18;2;1;6;4;336;100;1;100;
18;2;1;6;1;3;100;4;20;
18;2;1;6;5;1241;100;0;100;
18;2;1;6;5;1241;100;5;100;
18;2;1;6;3;88;100;1;100;
18;2;1;6;2;20;100;2;100;
18;2;1;6;2;20;100;3;95;
18;2;1;6;4;336;100;0;100;
18;2;1;6;4;336;100;4;100;
18;2;1;6;3;88;100;5;100;
18;2;1;6;3;88;100;3;100;
18;2;1;6;4;336;100;2;100;
18;2;1;6;1;3;100;5;11;
18;2;1;6;3;88;100;0;100;
18;2;1;6;5;1241;100;1;100;
18;2;1;6;2;20;100;5;69;
18;2;1;6;3;88;100;4;100;
18;2;1;6;2;20;100;0;100;
18;2;1;6;1;3;100;2;38;
18;2;1;6;4;336;100;3;100;
18;2;1;6;1;3;100;1;65;
