NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;4;1;6;5;16843;100;2;100;
18;4;1;6;1;5;100;3;46;
18;4;1;6;2;54;100;1;100;
18;4;1;6;2;54;100;0;100;
18;4;1;6;3;401;100;5;100;
18;4;1;6;4;2725;100;1;100;
18;4;1;6;1;5;100;0;100;
18;4;1;6;5;16843;100;0;100;
18;4;1;6;2;54;100;4;100;
18;4;1;6;3;401;100;2;100;
18;4;1;6;3;401;100;1;100;
18;4;1;6;1;5;100;5;35;
18;4;1;6;5;16843;100;1;100;
18;4;1;6;3;401;100;4;100;
18;4;1;6;2;54;100;5;100;
18;4;1;6;5;16843;100;3;100;
18;4;1;6;2;54;100;2;100;
18;4;1;6;1;5;100;2;60;
18;4;1;6;2;54;100;3;100;
18;4;1;6;4;2725;100;0;100;
18;4;1;6;4;2725;100;5;100;
18;4;1;6;4;2725;100;3;100;
18;4;1;6;4;2725;100;4;100;
18;4;1;6;1;5;100;4;33;
18;4;1;6;3;401;100;3;100;
18;4;1;6;3;401;100;0;100;
18;4;1;6;1;5;100;1;76;
18;4;1;6;4;2725;100;2;100;
18;4;1;6;5;16843;100;5;100;
18;4;1;6;5;16843;100;4;100;
