NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;1;1;6;5;144;100;2;100;
18;1;1;6;1;2;100;3;10;
18;1;1;6;1;2;100;4;8;
18;1;1;6;4;60;100;3;100;
18;1;1;6;4;60;100;0;100;
18;1;1;6;4;60;100;5;69;
18;1;1;6;5;144;100;1;100;
18;1;1;6;2;10;100;5;15;
18;1;1;6;5;144;100;5;98;
18;1;1;6;4;60;100;1;100;
18;1;1;6;1;2;100;0;100;
18;1;1;6;3;24;100;2;100;
18;1;1;6;1;2;100;1;51;
18;1;1;6;2;10;100;3;51;
18;1;1;6;1;2;100;2;26;
18;1;1;6;3;24;100;1;100;
18;1;1;6;2;10;100;2;84;
18;1;1;6;2;10;100;0;100;
18;1;1;6;2;10;100;1;100;
18;1;1;6;2;10;100;4;24;
18;1;1;6;3;24;100;0;100;
18;1;1;6;5;144;100;3;100;
18;1;1;6;4;60;100;2;100;
18;1;1;6;5;144;100;0;100;
18;1;1;6;3;24;100;5;33;
18;1;1;6;4;60;100;4;95;
18;1;1;6;1;2;100;5;5;
18;1;1;6;3;24;100;4;62;
18;1;1;6;5;144;100;4;100;
18;1;1;6;3;24;100;3;90;
