NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;4;6;3;454;100;0;100;
24;1;4;6;2;59;100;5;1;
24;1;4;6;2;59;100;1;100;
24;1;4;6;4;3203;100;5;49;
24;1;4;6;2;59;100;3;34;
24;1;4;6;4;3203;100;1;100;
24;1;4;6;5;20482;100;0;100;
24;1;4;6;1;5;100;4;1;
24;1;4;6;2;59;100;2;97;
24;1;4;6;1;5;100;0;100;
24;1;4;6;1;5;100;1;80;
24;1;4;6;4;3203;100;3;100;
24;1;4;6;4;3203;100;4;100;
24;1;4;6;5;20482;100;5;100;
24;1;4;6;1;5;100;3;4;
24;1;4;6;2;59;100;4;12;
24;1;4;6;5;20482;100;3;100;
24;1;4;6;5;20482;100;1;100;
24;1;4;6;2;59;100;0;100;
24;1;4;6;3;454;100;3;98;
24;1;4;6;5;20482;100;4;100;
24;1;4;6;1;5;100;2;16;
24;1;4;6;4;3203;100;0;100;
24;1;4;6;1;5;100;5;0;
24;1;4;6;3;454;100;1;100;
24;1;4;6;3;454;100;5;7;
24;1;4;6;4;3203;100;2;100;
24;1;4;6;3;454;100;4;49;
24;1;4;6;5;20482;100;2;100;
24;1;4;6;3;454;100;2;100;
