NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;2;2;6;3;255;100;4;100;
30;2;2;6;5;7555;100;2;100;
30;2;2;6;3;255;100;0;100;
30;2;2;6;1;4;100;0;100;
30;2;2;6;4;1448;100;2;100;
30;2;2;6;5;7555;100;4;100;
30;2;2;6;2;41;100;1;100;
30;2;2;6;3;255;100;1;100;
30;2;2;6;2;41;100;0;100;
30;2;2;6;5;7555;100;1;100;
30;2;2;6;5;7555;100;5;100;
30;2;2;6;4;1448;100;1;100;
30;2;2;6;2;41;100;2;100;
30;2;2;6;1;4;100;1;91;
30;2;2;6;1;4;100;4;14;
30;2;2;6;2;41;100;4;76;
30;2;2;6;5;7555;100;3;100;
30;2;2;6;2;41;100;5;40;
30;2;2;6;3;255;100;5;100;
30;2;2;6;1;4;100;5;4;
30;2;2;6;3;255;100;2;100;
30;2;2;6;4;1448;100;5;100;
30;2;2;6;3;255;100;3;100;
30;2;2;6;1;4;100;2;44;
30;2;2;6;5;7555;100;0;100;
30;2;2;6;2;41;100;3;93;
30;2;2;6;4;1448;100;0;100;
30;2;2;6;4;1448;100;3;100;
30;2;2;6;4;1448;100;4;100;
30;2;2;6;1;4;100;3;22;
