NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;4;6;3;329;100;5;10;
12;1;4;6;4;2068;100;5;46;
12;1;4;6;2;48;100;5;1;
12;1;4;6;2;48;100;2;93;
12;1;4;6;2;48;100;1;100;
12;1;4;6;3;329;100;2;100;
12;1;4;6;4;2068;100;2;100;
12;1;4;6;2;48;100;4;4;
12;1;4;6;1;5;100;2;13;
12;1;4;6;3;329;100;3;95;
12;1;4;6;5;11889;100;2;100;
12;1;4;6;5;11889;100;4;100;
12;1;4;6;5;11889;100;5;96;
12;1;4;6;3;329;100;4;45;
12;1;4;6;5;11889;100;0;100;
12;1;4;6;1;5;100;3;3;
12;1;4;6;5;11889;100;1;100;
12;1;4;6;3;329;100;1;100;
12;1;4;6;4;2068;100;0;100;
12;1;4;6;4;2068;100;1;100;
12;1;4;6;5;11889;100;3;100;
12;1;4;6;1;5;100;5;0;
12;1;4;6;4;2068;100;4;100;
12;1;4;6;2;48;100;0;100;
12;1;4;6;1;5;100;1;81;
12;1;4;6;3;329;100;0;100;
12;1;4;6;1;5;100;4;1;
12;1;4;6;4;2068;100;3;100;
12;1;4;6;2;48;100;3;30;
12;1;4;6;1;5;100;0;100;
