NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;5;1;12;2;67;100;4;100;
12;5;1;12;5;29645;100;0;100;
12;5;1;12;1;6;100;6;39;
12;5;1;12;5;29645;100;4;100;
12;5;1;12;3;564;100;10;100;
12;5;1;12;2;67;100;2;100;
12;5;1;12;3;564;100;1;100;
12;5;1;12;3;564;100;4;100;
12;5;1;12;4;4295;100;1;100;
12;5;1;12;3;564;100;7;100;
12;5;1;12;1;6;100;3;51;
12;5;1;12;5;29645;100;2;100;
12;5;1;12;4;4295;100;5;100;
12;5;1;12;5;29645;100;9;100;
12;5;1;12;2;67;100;7;98;
12;5;1;12;3;564;100;0;100;
12;5;1;12;1;6;100;10;16;
12;5;1;12;4;4295;100;3;100;
12;5;1;12;4;4295;100;8;100;
12;5;1;12;4;4295;100;9;100;
12;5;1;12;2;67;100;1;100;
12;5;1;12;2;67;100;5;100;
12;5;1;12;5;29645;100;6;100;
12;5;1;12;3;564;100;11;100;
12;5;1;12;5;29645;100;3;100;
12;5;1;12;2;67;100;10;86;
12;5;1;12;1;6;100;11;16;
12;5;1;12;4;4295;100;4;100;
12;5;1;12;5;29645;100;10;100;
12;5;1;12;2;67;100;0;100;
12;5;1;12;2;67;100;8;96;
12;5;1;12;4;4295;100;11;100;
12;5;1;12;4;4295;100;7;100;
12;5;1;12;4;4295;100;0;100;
12;5;1;12;1;6;100;4;48;
12;5;1;12;3;564;100;3;100;
12;5;1;12;3;564;100;9;100;
12;5;1;12;1;6;100;2;67;
12;5;1;12;5;29645;100;5;100;
12;5;1;12;4;4295;100;6;100;
12;5;1;12;3;564;100;8;100;
12;5;1;12;3;564;100;6;100;
12;5;1;12;5;29645;100;1;100;
12;5;1;12;2;67;100;11;81;
12;5;1;12;5;29645;100;11;100;
12;5;1;12;1;6;100;0;100;
12;5;1;12;5;29645;100;7;100;
12;5;1;12;5;29645;100;8;100;
12;5;1;12;1;6;100;7;26;
12;5;1;12;1;6;100;8;23;
12;5;1;12;2;67;100;6;99;
12;5;1;12;2;67;100;3;100;
12;5;1;12;3;564;100;2;100;
12;5;1;12;4;4295;100;10;100;
12;5;1;12;1;6;100;9;24;
12;5;1;12;1;6;100;1;85;
12;5;1;12;2;67;100;9;90;
12;5;1;12;4;4295;100;2;100;
12;5;1;12;3;564;100;5;100;
12;5;1;12;1;6;100;5;39;
