NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;3;30;3;255;100;28;0;
30;1;3;30;1;4;100;13;0;
30;1;3;30;4;1448;100;8;0;
30;1;3;30;5;7555;100;2;100;
30;1;3;30;3;255;100;11;0;
30;1;3;30;1;4;100;10;0;
30;1;3;30;5;7555;100;29;0;
30;1;3;30;5;7555;100;24;0;
30;1;3;30;5;7555;100;28;0;
30;1;3;30;5;7555;100;14;0;
30;1;3;30;4;1448;100;27;0;
30;1;3;30;4;1448;100;11;0;
30;1;3;30;2;41;100;11;0;
30;1;3;30;1;4;100;5;0;
30;1;3;30;5;7555;100;11;0;
30;1;3;30;4;1448;100;1;100;
30;1;3;30;3;255;100;15;0;
30;1;3;30;3;255;100;22;0;
30;1;3;30;1;4;100;22;0;
30;1;3;30;2;41;100;26;0;
30;1;3;30;3;255;100;27;0;
30;1;3;30;4;1448;100;4;99;
30;1;3;30;5;7555;100;6;80;
30;1;3;30;1;4;100;24;0;
30;1;3;30;4;1448;100;23;0;
30;1;3;30;3;255;100;6;6;
30;1;3;30;3;255;100;3;96;
30;1;3;30;2;41;100;16;0;
30;1;3;30;1;4;100;28;0;
30;1;3;30;3;255;100;9;0;
30;1;3;30;3;255;100;29;0;
30;1;3;30;4;1448;100;28;0;
30;1;3;30;5;7555;100;18;0;
30;1;3;30;4;1448;100;12;0;
30;1;3;30;3;255;100;5;12;
30;1;3;30;3;255;100;10;0;
30;1;3;30;4;1448;100;18;0;
30;1;3;30;1;4;100;6;0;
30;1;3;30;2;41;100;21;0;
30;1;3;30;3;255;100;21;0;
30;1;3;30;2;41;100;5;1;
30;1;3;30;3;255;100;18;0;
30;1;3;30;5;7555;100;10;0;
30;1;3;30;2;41;100;3;43;
30;1;3;30;4;1448;100;20;0;
30;1;3;30;5;7555;100;22;0;
30;1;3;30;1;4;100;9;0;
30;1;3;30;4;1448;100;14;0;
30;1;3;30;5;7555;100;17;0;
30;1;3;30;5;7555;100;7;25;
30;1;3;30;3;255;100;2;100;
30;1;3;30;4;1448;100;2;100;
30;1;3;30;1;4;100;0;100;
30;1;3;30;5;7555;100;8;5;
30;1;3;30;1;4;100;8;0;
30;1;3;30;4;1448;100;15;0;
30;1;3;30;4;1448;100;0;100;
30;1;3;30;3;255;100;14;0;
30;1;3;30;1;4;100;4;0;
