NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;1;30;1;2;100;23;0;
30;1;1;30;1;2;100;4;4;
30;1;1;30;2;11;100;25;0;
30;1;1;30;3;28;100;14;0;
30;1;1;30;3;28;100;1;100;
30;1;1;30;1;2;100;3;6;
30;1;1;30;1;2;100;14;0;
30;1;1;30;4;80;100;12;2;
30;1;1;30;1;2;100;16;0;
30;1;1;30;5;200;100;4;100;
30;1;1;30;2;11;100;27;0;
30;1;1;30;3;28;100;26;0;
30;1;1;30;3;28;100;7;16;
30;1;1;30;5;200;100;24;0;
30;1;1;30;1;2;100;24;0;
30;1;1;30;3;28;100;28;0;
30;1;1;30;5;200;100;13;1;
30;1;1;30;4;80;100;24;0;
30;1;1;30;4;80;100;2;100;
30;1;1;30;1;2;100;21;0;
30;1;1;30;2;11;100;8;2;
30;1;1;30;3;28;100;11;0;
30;1;1;30;2;11;100;18;0;
30;1;1;30;1;2;100;12;0;
30;1;1;30;2;11;100;14;0;
30;1;1;30;4;80;100;18;0;
30;1;1;30;3;28;100;18;0;
30;1;1;30;1;2;100;10;0;
30;1;1;30;4;80;100;28;0;
30;1;1;30;1;2;100;20;0;
30;1;1;30;5;200;100;21;0;
30;1;1;30;3;28;100;3;90;
30;1;1;30;5;200;100;3;100;
30;1;1;30;2;11;100;24;0;
30;1;1;30;4;80;100;16;0;
30;1;1;30;4;80;100;3;100;
30;1;1;30;1;2;100;15;0;
30;1;1;30;4;80;100;15;0;
30;1;1;30;5;200;100;6;87;
30;1;1;30;5;200;100;25;0;
30;1;1;30;5;200;100;10;13;
30;1;1;30;4;80;100;14;0;
30;1;1;30;1;2;100;11;1;
30;1;1;30;3;28;100;15;1;
30;1;1;30;3;28;100;4;70;
30;1;1;30;1;2;100;17;0;
30;1;1;30;5;200;100;5;98;
30;1;1;30;4;80;100;22;0;
30;1;1;30;4;80;100;19;0;
30;1;1;30;4;80;100;5;76;
30;1;1;30;3;28;100;6;19;
30;1;1;30;1;2;100;2;24;
