NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;5;12;2;67;100;1;100;
12;1;5;12;2;67;100;4;5;
12;1;5;12;1;6;100;10;0;
12;1;5;12;3;564;100;7;0;
12;1;5;12;4;4295;100;7;1;
12;1;5;12;3;564;100;3;97;
12;1;5;12;4;4295;100;11;0;
12;1;5;12;5;29645;100;1;100;
12;1;5;12;3;564;100;9;0;
12;1;5;12;4;4295;100;8;0;
12;1;5;12;4;4295;100;5;36;
12;1;5;12;5;29645;100;4;100;
12;1;5;12;2;67;100;10;0;
12;1;5;12;1;6;100;3;0;
12;1;5;12;2;67;100;3;25;
12;1;5;12;5;29645;100;3;100;
12;1;5;12;5;29645;100;5;99;
12;1;5;12;5;29645;100;2;100;
12;1;5;12;3;564;100;4;28;
12;1;5;12;4;4295;100;4;96;
12;1;5;12;4;4295;100;1;100;
12;1;5;12;1;6;100;5;0;
12;1;5;12;3;564;100;11;0;
12;1;5;12;1;6;100;6;0;
12;1;5;12;1;6;100;8;0;
12;1;5;12;3;564;100;5;7;
12;1;5;12;4;4295;100;10;0;
12;1;5;12;5;29645;100;10;0;
12;1;5;12;2;67;100;8;0;
12;1;5;12;1;6;100;11;0;
12;1;5;12;5;29645;100;7;9;
12;1;5;12;4;4295;100;0;100;
12;1;5;12;2;67;100;11;0;
12;1;5;12;4;4295;100;3;100;
12;1;5;12;2;67;100;9;0;
12;1;5;12;1;6;100;0;100;
12;1;5;12;2;67;100;5;2;
12;1;5;12;1;6;100;2;16;
12;1;5;12;1;6;100;4;0;
12;1;5;12;1;6;100;7;0;
12;1;5;12;1;6;100;9;0;
12;1;5;12;2;67;100;0;100;
12;1;5;12;4;4295;100;2;100;
12;1;5;12;5;29645;100;0;100;
12;1;5;12;5;29645;100;8;3;
12;1;5;12;5;29645;100;6;45;
12;1;5;12;5;29645;100;9;1;
12;1;5;12;3;564;100;0;100;
12;1;5;12;3;564;100;2;100;
12;1;5;12;3;564;100;10;0;
12;1;5;12;2;67;100;2;91;
12;1;5;12;4;4295;100;6;9;
12;1;5;12;4;4295;100;9;0;
12;1;5;12;3;564;100;8;0;
12;1;5;12;2;67;100;7;0;
12;1;5;12;3;564;100;1;100;
12;1;5;12;5;29645;100;11;0;
12;1;5;12;1;6;100;1;84;
12;1;5;12;2;67;100;6;0;
12;1;5;12;3;564;100;6;1;
