NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;5;1;18;2;75;100;10;93;
18;5;1;18;3;689;100;11;100;
18;5;1;18;2;75;100;16;50;
18;5;1;18;3;689;100;6;100;
18;5;1;18;3;689;100;5;100;
18;5;1;18;3;689;100;17;98;
18;5;1;18;3;689;100;10;100;
18;5;1;18;4;5650;100;3;100;
18;5;1;18;1;6;100;8;24;
18;5;1;18;2;75;100;11;85;
18;5;1;18;5;42102;100;7;100;
18;5;1;18;4;5650;100;7;100;
18;5;1;18;4;5650;100;2;100;
18;5;1;18;1;6;100;9;21;
18;5;1;18;4;5650;100;8;100;
18;5;1;18;3;689;100;3;100;
18;5;1;18;2;75;100;6;100;
18;5;1;18;1;6;100;2;66;
18;5;1;18;2;75;100;0;100;
18;5;1;18;4;5650;100;6;100;
18;5;1;18;4;5650;100;13;100;
18;5;1;18;2;75;100;1;100;
18;5;1;18;2;75;100;5;100;
18;5;1;18;3;689;100;12;100;
18;5;1;18;4;5650;100;11;100;
18;5;1;18;3;689;100;9;100;
18;5;1;18;5;42102;100;10;100;
18;5;1;18;2;75;100;12;85;
18;5;1;18;2;75;100;2;100;
18;5;1;18;3;689;100;2;100;
18;5;1;18;3;689;100;14;100;
18;5;1;18;3;689;100;4;100;
18;5;1;18;5;42102;100;5;100;
18;5;1;18;1;6;100;11;14;
18;5;1;18;1;6;100;14;6;
18;5;1;18;3;689;100;8;100;
18;5;1;18;1;6;100;6;42;
18;5;1;18;5;42102;100;9;100;
18;5;1;18;3;689;100;1;100;
18;5;1;18;5;42102;100;3;100;
18;5;1;18;2;75;100;9;93;
18;5;1;18;5;42102;100;6;100;
18;5;1;18;2;75;100;14;68;
18;5;1;18;4;5650;100;5;100;
18;5;1;18;2;75;100;15;56;
18;5;1;18;2;75;100;4;100;
18;5;1;18;4;5650;100;15;100;
18;5;1;18;4;5650;100;4;100;
18;5;1;18;1;6;100;7;26;
18;5;1;18;2;75;100;7;98;
18;5;1;18;1;6;100;12;15;
18;5;1;18;3;689;100;0;100;
18;5;1;18;4;5650;100;9;100;
18;5;1;18;3;689;100;15;100;
18;5;1;18;5;42102;100;4;100;
18;5;1;18;5;42102;100;15;100;
18;5;1;18;1;6;100;10;18;
18;5;1;18;5;42102;100;13;100;
18;5;1;18;5;42102;100;16;100;
18;5;1;18;5;42102;100;14;100;
18;5;1;18;1;6;100;4;53;
18;5;1;18;2;75;100;17;28;
18;5;1;18;5;42102;100;1;100;
18;5;1;18;4;5650;100;16;100;
18;5;1;18;5;42102;100;8;100;
18;5;1;18;1;6;100;0;100;
18;5;1;18;2;75;100;13;70;
18;5;1;18;3;689;100;13;100;
18;5;1;18;1;6;100;5;40;
18;5;1;18;5;42102;100;17;100;
18;5;1;18;4;5650;100;10;100;
18;5;1;18;5;42102;100;2;100;
18;5;1;18;2;75;100;3;100;
18;5;1;18;2;75;100;8;99;
18;5;1;18;4;5650;100;12;100;
18;5;1;18;4;5650;100;0;100;
18;5;1;18;5;42102;100;12;100;
18;5;1;18;1;6;100;17;2;
18;5;1;18;1;6;100;13;7;
18;5;1;18;3;689;100;7;100;
18;5;1;18;5;42102;100;0;100;
18;5;1;18;1;6;100;16;2;
18;5;1;18;4;5650;100;17;100;
18;5;1;18;5;42102;100;11;100;
18;5;1;18;4;5650;100;14;100;
18;5;1;18;1;6;100;3;58;
18;5;1;18;3;689;100;16;99;
18;5;1;18;4;5650;100;1;100;
18;5;1;18;1;6;100;1;89;
18;5;1;18;1;6;100;15;7;
