NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;3;24;4;1298;100;10;0;
24;1;3;24;4;1298;100;1;100;
24;1;3;24;3;232;100;18;0;
24;1;3;24;1;4;100;13;0;
24;1;3;24;5;6629;100;2;100;
24;1;3;24;4;1298;100;0;100;
24;1;3;24;1;4;100;15;0;
24;1;3;24;2;40;100;5;2;
24;1;3;24;2;40;100;8;0;
24;1;3;24;1;4;100;3;4;
24;1;3;24;2;40;100;3;35;
24;1;3;24;2;40;100;9;0;
24;1;3;24;4;1298;100;12;0;
24;1;3;24;3;232;100;6;8;
24;1;3;24;5;6629;100;7;25;
24;1;3;24;2;40;100;23;0;
24;1;3;24;3;232;100;7;1;
24;1;3;24;1;4;100;19;0;
24;1;3;24;2;40;100;18;0;
24;1;3;24;5;6629;100;0;100;
24;1;3;24;2;40;100;13;0;
24;1;3;24;5;6629;100;4;100;
24;1;3;24;4;1298;100;13;0;
24;1;3;24;5;6629;100;19;0;
24;1;3;24;1;4;100;7;0;
24;1;3;24;3;232;100;10;0;
24;1;3;24;3;232;100;14;0;
24;1;3;24;5;6629;100;22;0;
24;1;3;24;4;1298;100;14;0;
24;1;3;24;4;1298;100;6;19;
24;1;3;24;1;4;100;12;0;
24;1;3;24;5;6629;100;9;0;
24;1;3;24;5;6629;100;3;100;
24;1;3;24;5;6629;100;11;0;
24;1;3;24;1;4;100;1;76;
24;1;3;24;3;232;100;22;0;
24;1;3;24;1;4;100;4;3;
24;1;3;24;1;4;100;8;0;
24;1;3;24;4;1298;100;11;0;
24;1;3;24;4;1298;100;16;0;
24;1;3;24;2;40;100;2;92;
24;1;3;24;2;40;100;22;0;
24;1;3;24;3;232;100;3;96;
24;1;3;24;2;40;100;19;0;
24;1;3;24;1;4;100;11;0;
24;1;3;24;2;40;100;12;0;
24;1;3;24;2;40;100;14;0;
24;1;3;24;3;232;100;17;0;
24;1;3;24;2;40;100;20;0;
24;1;3;24;4;1298;100;23;0;
24;1;3;24;3;232;100;11;0;
24;1;3;24;4;1298;100;22;0;
24;1;3;24;3;232;100;15;0;
24;1;3;24;1;4;100;6;0;
24;1;3;24;1;4;100;21;0;
24;1;3;24;5;6629;100;18;0;
24;1;3;24;5;6629;100;20;0;
24;1;3;24;1;4;100;17;0;
24;1;3;24;1;4;100;20;0;
24;1;3;24;4;1298;100;7;8;
24;1;3;24;5;6629;100;10;0;
24;1;3;24;5;6629;100;16;0;
24;1;3;24;3;232;100;4;52;
24;1;3;24;5;6629;100;17;0;
24;1;3;24;5;6629;100;15;0;
24;1;3;24;3;232;100;8;0;
24;1;3;24;2;40;100;21;0;
24;1;3;24;4;1298;100;21;0;
24;1;3;24;2;40;100;17;0;
24;1;3;24;1;4;100;14;0;
24;1;3;24;2;40;100;7;0;
24;1;3;24;4;1298;100;20;0;
24;1;3;24;4;1298;100;2;100;
24;1;3;24;1;4;100;2;19;
24;1;3;24;3;232;100;23;0;
24;1;3;24;2;40;100;11;0;
24;1;3;24;1;4;100;0;100;
24;1;3;24;4;1298;100;15;0;
24;1;3;24;2;40;100;1;100;
24;1;3;24;3;232;100;5;20;
24;1;3;24;2;40;100;4;9;
24;1;3;24;2;40;100;6;0;
24;1;3;24;5;6629;100;8;4;
24;1;3;24;1;4;100;16;0;
24;1;3;24;4;1298;100;18;0;
24;1;3;24;1;4;100;23;0;
24;1;3;24;4;1298;100;8;1;
24;1;3;24;3;232;100;1;100;
24;1;3;24;5;6629;100;1;100;
24;1;3;24;3;232;100;21;0;
24;1;3;24;5;6629;100;13;0;
24;1;3;24;5;6629;100;21;0;
24;1;3;24;1;4;100;5;1;
24;1;3;24;3;232;100;2;100;
24;1;3;24;3;232;100;19;0;
24;1;3;24;2;40;100;0;100;
24;1;3;24;5;6629;100;12;1;
24;1;3;24;5;6629;100;23;0;
24;1;3;24;3;232;100;20;0;
24;1;3;24;1;4;100;9;0;
24;1;3;24;5;6629;100;6;72;
24;1;3;24;2;40;100;10;0;
24;1;3;24;4;1298;100;5;64;
24;1;3;24;5;6629;100;14;0;
24;1;3;24;4;1298;100;19;0;
24;1;3;24;1;4;100;10;0;
24;1;3;24;2;40;100;15;0;
24;1;3;24;1;4;100;22;0;
24;1;3;24;5;6629;100;5;99;
24;1;3;24;3;232;100;16;0;
24;1;3;24;4;1298;100;17;0;
24;1;3;24;4;1298;100;4;100;
24;1;3;24;2;40;100;16;0;
24;1;3;24;3;232;100;9;0;
24;1;3;24;3;232;100;0;100;
24;1;3;24;4;1298;100;3;100;
24;1;3;24;4;1298;100;9;1;
24;1;3;24;3;232;100;13;0;
24;1;3;24;3;232;100;12;0;
24;1;3;24;1;4;100;18;0;
