NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;2;1;12;1;3;100;0;100;
12;2;1;12;5;885;100;11;99;
12;2;1;12;1;3;100;5;12;
12;2;1;12;4;262;100;11;67;
12;2;1;12;2;20;100;11;7;
12;2;1;12;4;262;100;4;100;
12;2;1;12;3;71;100;7;78;
12;2;1;12;2;20;100;1;100;
12;2;1;12;4;262;100;9;95;
12;2;1;12;1;3;100;7;5;
12;2;1;12;1;3;100;2;48;
12;2;1;12;1;3;100;3;34;
12;2;1;12;2;20;100;7;27;
12;2;1;12;1;3;100;8;6;
12;2;1;12;3;71;100;5;98;
12;2;1;12;1;3;100;9;2;
12;2;1;12;2;20;100;5;63;
12;2;1;12;5;885;100;8;100;
12;2;1;12;1;3;100;11;1;
12;2;1;12;3;71;100;11;34;
12;2;1;12;5;885;100;1;100;
12;2;1;12;3;71;100;4;100;
12;2;1;12;2;20;100;3;86;
12;2;1;12;4;262;100;6;100;
12;2;1;12;3;71;100;3;100;
12;2;1;12;4;262;100;3;100;
12;2;1;12;1;3;100;6;8;
12;2;1;12;3;71;100;1;100;
12;2;1;12;2;20;100;8;22;
12;2;1;12;5;885;100;4;100;
12;2;1;12;3;71;100;8;69;
12;2;1;12;4;262;100;7;100;
12;2;1;12;4;262;100;10;85;
12;2;1;12;3;71;100;0;100;
12;2;1;12;4;262;100;0;100;
12;2;1;12;4;262;100;8;100;
12;2;1;12;5;885;100;10;100;
12;2;1;12;4;262;100;5;100;
12;2;1;12;1;3;100;10;4;
12;2;1;12;5;885;100;0;100;
12;2;1;12;1;3;100;4;22;
12;2;1;12;5;885;100;3;100;
12;2;1;12;5;885;100;6;100;
12;2;1;12;3;71;100;2;100;
12;2;1;12;1;3;100;1;63;
12;2;1;12;5;885;100;5;100;
12;2;1;12;3;71;100;9;52;
12;2;1;12;2;20;100;4;81;
12;2;1;12;3;71;100;10;33;
12;2;1;12;5;885;100;2;100;
12;2;1;12;3;71;100;6;92;
12;2;1;12;4;262;100;1;100;
12;2;1;12;5;885;100;7;100;
12;2;1;12;2;20;100;9;13;
12;2;1;12;2;20;100;0;100;
12;2;1;12;2;20;100;2;100;
12;2;1;12;5;885;100;9;100;
12;2;1;12;4;262;100;2;100;
12;2;1;12;2;20;100;10;10;
12;2;1;12;2;20;100;6;40;
