NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;3;12;4;835;100;3;100;
12;1;3;12;4;835;100;8;1;
12;1;3;12;5;3854;100;2;100;
12;1;3;12;4;835;100;0;100;
12;1;3;12;5;3854;100;8;4;
12;1;3;12;2;31;100;7;0;
12;1;3;12;1;4;100;11;0;
12;1;3;12;4;835;100;4;94;
12;1;3;12;2;31;100;5;0;
12;1;3;12;4;835;100;7;1;
12;1;3;12;1;4;100;2;15;
12;1;3;12;1;4;100;4;3;
12;1;3;12;3;170;100;10;0;
12;1;3;12;5;3854;100;7;14;
12;1;3;12;3;170;100;0;100;
12;1;3;12;3;170;100;2;100;
12;1;3;12;2;31;100;4;8;
12;1;3;12;3;170;100;5;11;
12;1;3;12;3;170;100;1;100;
12;1;3;12;3;170;100;8;0;
12;1;3;12;4;835;100;9;0;
12;1;3;12;2;31;100;3;34;
12;1;3;12;1;4;100;10;0;
12;1;3;12;2;31;100;9;0;
12;1;3;12;2;31;100;0;100;
12;1;3;12;5;3854;100;6;47;
12;1;3;12;5;3854;100;5;97;
12;1;3;12;3;170;100;6;4;
12;1;3;12;1;4;100;3;6;
12;1;3;12;5;3854;100;11;0;
12;1;3;12;4;835;100;1;100;
12;1;3;12;2;31;100;1;100;
12;1;3;12;5;3854;100;1;100;
12;1;3;12;4;835;100;2;100;
12;1;3;12;4;835;100;5;54;
12;1;3;12;5;3854;100;4;100;
12;1;3;12;1;4;100;1;75;
12;1;3;12;3;170;100;3;91;
12;1;3;12;3;170;100;7;0;
12;1;3;12;1;4;100;6;0;
12;1;3;12;2;31;100;8;0;
12;1;3;12;2;31;100;10;0;
12;1;3;12;5;3854;100;10;0;
12;1;3;12;2;31;100;2;90;
12;1;3;12;4;835;100;11;0;
12;1;3;12;5;3854;100;9;2;
12;1;3;12;1;4;100;7;0;
12;1;3;12;5;3854;100;0;100;
12;1;3;12;2;31;100;6;2;
12;1;3;12;3;170;100;9;0;
12;1;3;12;3;170;100;4;51;
12;1;3;12;1;4;100;8;0;
12;1;3;12;3;170;100;11;0;
12;1;3;12;2;31;100;11;0;
12;1;3;12;5;3854;100;3;100;
12;1;3;12;1;4;100;0;100;
12;1;3;12;1;4;100;5;0;
12;1;3;12;1;4;100;9;0;
12;1;3;12;4;835;100;6;12;
12;1;3;12;4;835;100;10;0;
