NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;1;5;24;3;786;100;12;0;
24;1;5;24;1;6;100;15;0;
24;1;5;24;4;6662;100;18;0;
24;1;5;24;1;6;100;16;0;
24;1;5;24;3;786;100;17;0;
24;1;5;24;4;6662;100;15;0;
24;1;5;24;2;83;100;19;0;
24;1;5;24;5;51287;100;18;0;
24;1;5;24;3;786;100;13;0;
24;1;5;24;5;51287;100;21;0;
24;1;5;24;4;6662;100;9;0;
24;1;5;24;4;6662;100;1;100;
24;1;5;24;5;51287;100;5;100;
24;1;5;24;4;6662;100;11;0;
24;1;5;24;4;6662;100;10;0;
24;1;5;24;4;6662;100;22;0;
24;1;5;24;5;51287;100;0;100;
24;1;5;24;5;51287;100;23;0;
24;1;5;24;3;786;100;14;0;
24;1;5;24;3;786;100;23;0;
24;1;5;24;2;83;100;4;5;
24;1;5;24;1;6;100;17;0;
24;1;5;24;1;6;100;3;5;
24;1;5;24;5;51287;100;16;0;
24;1;5;24;4;6662;100;4;99;
24;1;5;24;4;6662;100;14;0;
24;1;5;24;1;6;100;18;0;
24;1;5;24;5;51287;100;13;0;
24;1;5;24;3;786;100;22;0;
24;1;5;24;5;51287;100;1;100;
24;1;5;24;1;6;100;7;0;
24;1;5;24;3;786;100;0;100;
24;1;5;24;5;51287;100;4;100;
24;1;5;24;4;6662;100;19;0;
24;1;5;24;3;786;100;21;0;
24;1;5;24;5;51287;100;20;0;
24;1;5;24;4;6662;100;6;13;
24;1;5;24;3;786;100;4;51;
24;1;5;24;1;6;100;9;0;
24;1;5;24;3;786;100;16;0;
24;1;5;24;1;6;100;8;0;
24;1;5;24;5;51287;100;19;0;
24;1;5;24;2;83;100;5;0;
24;1;5;24;3;786;100;19;0;
24;1;5;24;4;6662;100;2;100;
24;1;5;24;3;786;100;11;0;
24;1;5;24;4;6662;100;13;0;
24;1;5;24;5;51287;100;8;3;
24;1;5;24;3;786;100;7;2;
24;1;5;24;5;51287;100;11;0;
24;1;5;24;3;786;100;9;0;
24;1;5;24;2;83;100;21;0;
24;1;5;24;2;83;100;9;0;
24;1;5;24;5;51287;100;12;0;
24;1;5;24;1;6;100;13;0;
24;1;5;24;5;51287;100;10;0;
24;1;5;24;2;83;100;3;32;
24;1;5;24;2;83;100;8;0;
24;1;5;24;4;6662;100;23;0;
24;1;5;24;2;83;100;12;0;
24;1;5;24;3;786;100;15;0;
24;1;5;24;5;51287;100;2;100;
24;1;5;24;5;51287;100;17;0;
24;1;5;24;2;83;100;13;0;
24;1;5;24;5;51287;100;9;2;
24;1;5;24;3;786;100;3;98;
24;1;5;24;1;6;100;4;1;
24;1;5;24;5;51287;100;22;0;
24;1;5;24;4;6662;100;12;0;
24;1;5;24;1;6;100;12;0;
24;1;5;24;4;6662;100;0;100;
24;1;5;24;1;6;100;19;0;
24;1;5;24;5;51287;100;15;0;
24;1;5;24;5;51287;100;6;62;
24;1;5;24;1;6;100;2;17;
24;1;5;24;3;786;100;2;100;
24;1;5;24;1;6;100;0;100;
24;1;5;24;3;786;100;6;1;
24;1;5;24;2;83;100;0;100;
24;1;5;24;1;6;100;23;0;
24;1;5;24;5;51287;100;3;100;
24;1;5;24;2;83;100;18;0;
24;1;5;24;2;83;100;14;0;
24;1;5;24;2;83;100;17;0;
24;1;5;24;2;83;100;2;93;
24;1;5;24;2;83;100;15;0;
24;1;5;24;1;6;100;21;0;
24;1;5;24;2;83;100;20;0;
24;1;5;24;2;83;100;10;0;
24;1;5;24;1;6;100;6;0;
24;1;5;24;1;6;100;22;0;
24;1;5;24;4;6662;100;21;0;
24;1;5;24;1;6;100;11;0;
24;1;5;24;3;786;100;8;0;
24;1;5;24;2;83;100;11;0;
24;1;5;24;4;6662;100;3;100;
24;1;5;24;1;6;100;14;0;
24;1;5;24;2;83;100;22;0;
24;1;5;24;4;6662;100;20;0;
24;1;5;24;1;6;100;5;0;
24;1;5;24;1;6;100;1;84;
24;1;5;24;1;6;100;20;0;
24;1;5;24;4;6662;100;17;0;
24;1;5;24;3;786;100;5;7;
24;1;5;24;5;51287;100;7;16;
24;1;5;24;3;786;100;18;0;
24;1;5;24;2;83;100;16;0;
24;1;5;24;2;83;100;7;0;
24;1;5;24;4;6662;100;16;0;
24;1;5;24;5;51287;100;14;0;
24;1;5;24;4;6662;100;8;1;
24;1;5;24;4;6662;100;7;3;
24;1;5;24;2;83;100;23;0;
24;1;5;24;2;83;100;6;0;
24;1;5;24;3;786;100;10;0;
24;1;5;24;1;6;100;10;0;
24;1;5;24;3;786;100;1;100;
24;1;5;24;4;6662;100;5;52;
24;1;5;24;2;83;100;1;100;
24;1;5;24;3;786;100;20;0;
