NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;3;3;24;1;6;100;20;0;
24;3;3;24;1;6;100;14;0;
24;3;3;24;3;786;100;20;0;
24;3;3;24;1;6;100;15;0;
24;3;3;24;1;6;100;4;24;
24;3;3;24;5;51287;100;1;100;
24;3;3;24;1;6;100;10;0;
24;3;3;24;5;51287;100;5;100;
24;3;3;24;4;6662;100;17;0;
24;3;3;24;4;6662;100;11;76;
24;3;3;24;5;51287;100;15;51;
24;3;3;24;1;6;100;1;93;
24;3;3;24;3;786;100;12;11;
24;3;3;24;5;51287;100;12;100;
24;3;3;24;2;83;100;14;0;
24;3;3;24;4;6662;100;23;0;
24;3;3;24;1;6;100;12;0;
24;3;3;24;4;6662;100;19;0;
24;3;3;24;1;6;100;2;55;
24;3;3;24;3;786;100;15;0;
24;3;3;24;5;51287;100;7;100;
24;3;3;24;5;51287;100;20;2;
24;3;3;24;4;6662;100;5;100;
24;3;3;24;5;51287;100;16;32;
24;3;3;24;1;6;100;9;0;
24;3;3;24;3;786;100;23;0;
24;3;3;24;3;786;100;0;100;
24;3;3;24;4;6662;100;20;1;
24;3;3;24;5;51287;100;3;100;
24;3;3;24;2;83;100;8;17;
24;3;3;24;4;6662;100;14;11;
24;3;3;24;3;786;100;5;100;
24;3;3;24;5;51287;100;23;0;
24;3;3;24;5;51287;100;8;100;
24;3;3;24;4;6662;100;18;2;
24;3;3;24;3;786;100;10;31;
24;3;3;24;4;6662;100;13;31;
24;3;3;24;4;6662;100;2;100;
24;3;3;24;4;6662;100;9;100;
24;3;3;24;5;51287;100;18;7;
24;3;3;24;4;6662;100;15;9;
24;3;3;24;5;51287;100;17;25;
24;3;3;24;3;786;100;18;0;
24;3;3;24;3;786;100;1;100;
24;3;3;24;2;83;100;22;0;
24;3;3;24;3;786;100;17;0;
24;3;3;24;5;51287;100;10;100;
24;3;3;24;3;786;100;19;0;
24;3;3;24;5;51287;100;11;100;
24;3;3;24;4;6662;100;22;0;
24;3;3;24;5;51287;100;6;100;
24;3;3;24;2;83;100;4;95;
24;3;3;24;2;83;100;9;6;
24;3;3;24;3;786;100;3;100;
24;3;3;24;5;51287;100;21;2;
24;3;3;24;2;83;100;12;1;
24;3;3;24;2;83;100;17;0;
24;3;3;24;4;6662;100;12;53;
24;3;3;24;4;6662;100;21;0;
24;3;3;24;1;6;100;22;0;
24;3;3;24;3;786;100;11;16;
24;3;3;24;2;83;100;19;0;
24;3;3;24;1;6;100;5;7;
24;3;3;24;4;6662;100;0;100;
24;3;3;24;1;6;100;6;6;
24;3;3;24;4;6662;100;16;2;
24;3;3;24;3;786;100;9;48;
24;3;3;24;4;6662;100;4;100;
24;3;3;24;3;786;100;22;0;
24;3;3;24;2;83;100;16;0;
24;3;3;24;5;51287;100;4;100;
24;3;3;24;4;6662;100;1;100;
24;3;3;24;3;786;100;7;96;
24;3;3;24;5;51287;100;13;96;
24;3;3;24;2;83;100;1;100;
24;3;3;24;1;6;100;7;0;
24;3;3;24;3;786;100;4;100;
24;3;3;24;3;786;100;13;1;
24;3;3;24;5;51287;100;19;6;
24;3;3;24;2;83;100;3;100;
24;3;3;24;2;83;100;6;54;
24;3;3;24;1;6;100;16;0;
24;3;3;24;2;83;100;13;0;
24;3;3;24;2;83;100;7;43;
24;3;3;24;1;6;100;13;0;
24;3;3;24;4;6662;100;3;100;
24;3;3;24;1;6;100;3;34;
24;3;3;24;1;6;100;21;0;
24;3;3;24;3;786;100;2;100;
24;3;3;24;2;83;100;2;100;
24;3;3;24;4;6662;100;6;100;
24;3;3;24;3;786;100;8;81;
24;3;3;24;3;786;100;16;1;
24;3;3;24;2;83;100;10;5;
24;3;3;24;4;6662;100;10;97;
24;3;3;24;1;6;100;0;100;
24;3;3;24;1;6;100;17;0;
24;3;3;24;5;51287;100;22;1;
24;3;3;24;3;786;100;14;2;
24;3;3;24;1;6;100;19;0;
24;3;3;24;2;83;100;23;0;
24;3;3;24;5;51287;100;9;100;
24;3;3;24;1;6;100;11;1;
24;3;3;24;5;51287;100;2;100;
24;3;3;24;2;83;100;11;1;
24;3;3;24;2;83;100;5;80;
24;3;3;24;5;51287;100;14;81;
24;3;3;24;2;83;100;0;100;
24;3;3;24;2;83;100;15;0;
24;3;3;24;1;6;100;23;0;
24;3;3;24;1;6;100;8;1;
24;3;3;24;3;786;100;6;100;
24;3;3;24;4;6662;100;7;100;
24;3;3;24;2;83;100;20;0;
24;3;3;24;5;51287;100;0;100;
24;3;3;24;3;786;100;21;0;
24;3;3;24;2;83;100;18;0;
24;3;3;24;2;83;100;21;0;
24;3;3;24;4;6662;100;8;100;
24;3;3;24;1;6;100;18;0;
