NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
6;3;3;6;2;52;100;5;78;
6;3;3;6;4;2165;100;0;100;
6;3;3;6;2;52;100;2;100;
6;3;3;6;5;10407;100;0;100;
6;3;3;6;1;6;100;3;35;
6;3;3;6;5;10407;100;3;100;
6;3;3;6;4;2165;100;1;100;
6;3;3;6;4;2165;100;5;100;
6;3;3;6;1;6;100;2;66;
6;3;3;6;3;361;100;0;100;
6;3;3;6;4;2165;100;4;100;
6;3;3;6;3;361;100;2;100;
6;3;3;6;4;2165;100;2;100;
6;3;3;6;2;52;100;3;100;
6;3;3;6;1;6;100;4;13;
6;3;3;6;3;361;100;3;100;
6;3;3;6;1;6;100;1;96;
6;3;3;6;4;2165;100;3;100;
6;3;3;6;5;10407;100;1;100;
6;3;3;6;2;52;100;1;100;
6;3;3;6;1;6;100;5;10;
6;3;3;6;2;52;100;4;90;
6;3;3;6;5;10407;100;4;100;
6;3;3;6;3;361;100;4;100;
6;3;3;6;5;10407;100;5;100;
6;3;3;6;3;361;100;5;99;
6;3;3;6;3;361;100;1;100;
6;3;3;6;5;10407;100;2;100;
6;3;3;6;1;6;100;0;100;
6;3;3;6;2;52;100;0;100;
