NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;2;2;18;4;1098;100;12;19;
18;2;2;18;5;5458;100;5;100;
18;2;2;18;4;1098;100;10;40;
18;2;2;18;3;202;100;1;100;
18;2;2;18;5;5458;100;16;4;
18;2;2;18;1;4;100;16;0;
18;2;2;18;3;202;100;10;9;
18;2;2;18;2;36;100;2;100;
18;2;2;18;4;1098;100;1;100;
18;2;2;18;1;4;100;7;2;
18;2;2;18;5;5458;100;4;100;
18;2;2;18;5;5458;100;17;1;
18;2;2;18;1;4;100;11;0;
18;2;2;18;3;202;100;4;100;
18;2;2;18;2;36;100;16;0;
18;2;2;18;5;5458;100;0;100;
18;2;2;18;2;36;100;13;0;
18;2;2;18;1;4;100;8;0;
18;2;2;18;1;4;100;13;0;
18;2;2;18;4;1098;100;6;100;
18;2;2;18;5;5458;100;7;100;
18;2;2;18;2;36;100;11;1;
18;2;2;18;2;36;100;8;8;
18;2;2;18;3;202;100;2;100;
18;2;2;18;2;36;100;3;89;
18;2;2;18;2;36;100;15;0;
18;2;2;18;3;202;100;14;0;
18;2;2;18;5;5458;100;8;100;
18;2;2;18;2;36;100;9;3;
18;2;2;18;5;5458;100;10;97;
18;2;2;18;3;202;100;16;0;
18;2;2;18;2;36;100;0;100;
18;2;2;18;4;1098;100;14;3;
18;2;2;18;4;1098;100;17;0;
18;2;2;18;1;4;100;14;0;
18;2;2;18;1;4;100;12;0;
18;2;2;18;3;202;100;3;100;
18;2;2;18;3;202;100;13;2;
18;2;2;18;5;5458;100;1;100;
18;2;2;18;4;1098;100;13;8;
18;2;2;18;1;4;100;15;0;
18;2;2;18;4;1098;100;0;100;
18;2;2;18;4;1098;100;4;100;
18;2;2;18;5;5458;100;6;100;
18;2;2;18;3;202;100;7;55;
18;2;2;18;4;1098;100;8;91;
18;2;2;18;4;1098;100;16;2;
18;2;2;18;2;36;100;7;23;
18;2;2;18;1;4;100;9;1;
18;2;2;18;4;1098;100;9;71;
18;2;2;18;3;202;100;11;3;
18;2;2;18;1;4;100;17;0;
18;2;2;18;5;5458;100;14;11;
18;2;2;18;5;5458;100;9;97;
18;2;2;18;2;36;100;10;1;
18;2;2;18;3;202;100;12;3;
18;2;2;18;2;36;100;1;100;
18;2;2;18;4;1098;100;11;19;
18;2;2;18;3;202;100;8;33;
18;2;2;18;2;36;100;5;45;
18;2;2;18;1;4;100;1;83;
18;2;2;18;4;1098;100;7;99;
18;2;2;18;2;36;100;17;0;
18;2;2;18;4;1098;100;3;100;
18;2;2;18;2;36;100;6;26;
18;2;2;18;3;202;100;0;100;
18;2;2;18;5;5458;100;15;9;
18;2;2;18;5;5458;100;2;100;
18;2;2;18;3;202;100;9;26;
18;2;2;18;4;1098;100;2;100;
18;2;2;18;1;4;100;2;46;
18;2;2;18;3;202;100;5;100;
18;2;2;18;2;36;100;12;0;
18;2;2;18;1;4;100;6;2;
18;2;2;18;1;4;100;5;6;
18;2;2;18;3;202;100;6;75;
18;2;2;18;5;5458;100;13;27;
18;2;2;18;1;4;100;3;25;
18;2;2;18;3;202;100;15;0;
18;2;2;18;1;4;100;0;100;
18;2;2;18;5;5458;100;11;66;
18;2;2;18;1;4;100;4;18;
18;2;2;18;3;202;100;17;0;
18;2;2;18;4;1098;100;15;2;
18;2;2;18;1;4;100;10;1;
18;2;2;18;5;5458;100;12;53;
18;2;2;18;5;5458;100;3;100;
18;2;2;18;2;36;100;14;0;
18;2;2;18;4;1098;100;5;100;
18;2;2;18;2;36;100;4;77;
