NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
6;4;1;6;5;4195;100;2;100;
6;4;1;6;3;209;100;4;100;
6;4;1;6;4;1059;100;0;100;
6;4;1;6;3;209;100;1;100;
6;4;1;6;1;5;100;0;100;
6;4;1;6;2;38;100;1;100;
6;4;1;6;1;5;100;4;46;
6;4;1;6;1;5;100;2;65;
6;4;1;6;5;4195;100;3;100;
6;4;1;6;1;5;100;5;33;
6;4;1;6;3;209;100;5;100;
6;4;1;6;5;4195;100;1;100;
6;4;1;6;5;4195;100;0;100;
6;4;1;6;2;38;100;2;100;
6;4;1;6;4;1059;100;3;100;
6;4;1;6;2;38;100;0;100;
6;4;1;6;3;209;100;0;100;
6;4;1;6;4;1059;100;5;100;
6;4;1;6;3;209;100;2;100;
6;4;1;6;1;5;100;3;59;
6;4;1;6;4;1059;100;4;100;
6;4;1;6;3;209;100;3;100;
6;4;1;6;1;5;100;1;77;
6;4;1;6;2;38;100;5;97;
6;4;1;6;2;38;100;4;100;
6;4;1;6;2;38;100;3;100;
6;4;1;6;5;4195;100;4;100;
6;4;1;6;4;1059;100;1;100;
6;4;1;6;4;1059;100;2;100;
6;4;1;6;5;4195;100;5;100;
