NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
6;1;1;6;4;26;100;1;100;
6;1;1;6;3;14;100;3;74;
6;1;1;6;5;42;100;0;100;
6;1;1;6;5;42;100;5;70;
6;1;1;6;3;14;100;4;32;
6;1;1;6;4;26;100;0;100;
6;1;1;6;5;42;100;1;100;
6;1;1;6;3;14;100;0;100;
6;1;1;6;5;42;100;4;100;
6;1;1;6;5;42;100;2;100;
6;1;1;6;1;2;100;2;32;
6;1;1;6;2;6;100;4;14;
6;1;1;6;1;2;100;4;10;
6;1;1;6;1;2;100;3;15;
6;1;1;6;2;6;100;2;67;
6;1;1;6;5;42;100;3;100;
6;1;1;6;3;14;100;5;25;
6;1;1;6;4;26;100;5;42;
6;1;1;6;2;6;100;5;9;
6;1;1;6;4;26;100;2;100;
6;1;1;6;2;6;100;3;42;
6;1;1;6;1;2;100;5;2;
6;1;1;6;2;6;100;1;100;
6;1;1;6;1;2;100;0;100;
6;1;1;6;2;6;100;0;100;
6;1;1;6;3;14;100;1;100;
6;1;1;6;3;14;100;2;100;
6;1;1;6;4;26;100;4;78;
6;1;1;6;4;26;100;3;100;
6;1;1;6;1;2;100;1;57;
