NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;1;1;18;4;60;100;6;36;
18;1;1;18;3;24;100;5;34;
18;1;1;18;2;10;100;8;3;
18;1;1;18;2;10;100;16;0;
18;1;1;18;2;10;100;2;83;
18;1;1;18;4;60;100;4;95;
18;1;1;18;2;10;100;6;7;
18;1;1;18;4;60;100;10;7;
18;1;1;18;2;10;100;11;0;
18;1;1;18;5;144;100;5;99;
18;1;1;18;3;24;100;15;0;
18;1;1;18;5;144;100;0;100;
18;1;1;18;5;144;100;16;0;
18;1;1;18;2;10;100;5;21;
18;1;1;18;1;2;100;10;0;
18;1;1;18;4;60;100;2;100;
18;1;1;18;5;144;100;13;1;
18;1;1;18;3;24;100;13;0;
18;1;1;18;4;60;100;0;100;
18;1;1;18;4;60;100;15;0;
18;1;1;18;2;10;100;14;0;
18;1;1;18;5;144;100;7;51;
18;1;1;18;1;2;100;4;5;
18;1;1;18;5;144;100;1;100;
18;1;1;18;4;60;100;8;13;
18;1;1;18;3;24;100;9;1;
18;1;1;18;5;144;100;2;100;
18;1;1;18;2;10;100;9;4;
18;1;1;18;4;60;100;9;9;
18;1;1;18;1;2;100;3;14;
18;1;1;18;3;24;100;3;91;
18;1;1;18;3;24;100;1;100;
18;1;1;18;3;24;100;6;20;
18;1;1;18;4;60;100;3;100;
18;1;1;18;2;10;100;12;1;
18;1;1;18;5;144;100;9;13;
18;1;1;18;1;2;100;8;1;
18;1;1;18;1;2;100;13;0;
18;1;1;18;5;144;100;6;63;
18;1;1;18;1;2;100;2;25;
18;1;1;18;5;144;100;4;100;
18;1;1;18;3;24;100;12;0;
18;1;1;18;4;60;100;17;0;
18;1;1;18;2;10;100;0;100;
18;1;1;18;2;10;100;13;0;
18;1;1;18;3;24;100;4;53;
18;1;1;18;1;2;100;9;1;
18;1;1;18;1;2;100;15;0;
18;1;1;18;3;24;100;17;0;
18;1;1;18;1;2;100;16;0;
18;1;1;18;3;24;100;14;0;
18;1;1;18;3;24;100;7;8;
18;1;1;18;1;2;100;5;4;
18;1;1;18;5;144;100;10;6;
18;1;1;18;1;2;100;1;46;
18;1;1;18;2;10;100;15;0;
18;1;1;18;1;2;100;11;0;
18;1;1;18;2;10;100;10;1;
18;1;1;18;4;60;100;7;19;
18;1;1;18;2;10;100;17;0;
18;1;1;18;5;144;100;11;3;
18;1;1;18;1;2;100;6;1;
18;1;1;18;4;60;100;12;1;
18;1;1;18;1;2;100;0;100;
18;1;1;18;5;144;100;12;0;
18;1;1;18;4;60;100;1;100;
18;1;1;18;3;24;100;11;1;
18;1;1;18;2;10;100;7;6;
18;1;1;18;3;24;100;16;0;
18;1;1;18;2;10;100;3;50;
18;1;1;18;2;10;100;1;100;
18;1;1;18;1;2;100;17;0;
18;1;1;18;4;60;100;13;0;
18;1;1;18;4;60;100;14;0;
18;1;1;18;3;24;100;2;100;
18;1;1;18;5;144;100;3;100;
18;1;1;18;1;2;100;14;0;
18;1;1;18;4;60;100;11;2;
18;1;1;18;3;24;100;0;100;
18;1;1;18;3;24;100;10;1;
18;1;1;18;5;144;100;14;1;
18;1;1;18;4;60;100;5;73;
18;1;1;18;3;24;100;8;6;
18;1;1;18;1;2;100;7;1;
18;1;1;18;4;60;100;16;0;
18;1;1;18;5;144;100;8;31;
18;1;1;18;2;10;100;4;26;
18;1;1;18;1;2;100;12;0;
18;1;1;18;5;144;100;17;0;
18;1;1;18;5;144;100;15;0;
