NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;1;2;18;2;20;100;12;0;
18;1;2;18;5;1241;100;14;0;
18;1;2;18;3;88;100;9;2;
18;1;2;18;2;20;100;3;46;
18;1;2;18;3;88;100;12;0;
18;1;2;18;3;88;100;1;100;
18;1;2;18;5;1241;100;12;0;
18;1;2;18;1;3;100;13;0;
18;1;2;18;1;3;100;8;0;
18;1;2;18;5;1241;100;8;12;
18;1;2;18;1;3;100;11;0;
18;1;2;18;3;88;100;10;0;
18;1;2;18;1;3;100;0;100;
18;1;2;18;4;336;100;3;100;
18;1;2;18;5;1241;100;9;4;
18;1;2;18;3;88;100;11;0;
18;1;2;18;1;3;100;12;0;
18;1;2;18;4;336;100;9;1;
18;1;2;18;4;336;100;16;0;
18;1;2;18;3;88;100;7;6;
18;1;2;18;3;88;100;8;1;
18;1;2;18;2;20;100;2;83;
18;1;2;18;2;20;100;16;0;
18;1;2;18;4;336;100;5;64;
18;1;2;18;5;1241;100;4;100;
18;1;2;18;5;1241;100;17;0;
18;1;2;18;1;3;100;17;0;
18;1;2;18;2;20;100;17;0;
18;1;2;18;5;1241;100;3;100;
18;1;2;18;1;3;100;7;0;
18;1;2;18;5;1241;100;1;100;
18;1;2;18;1;3;100;1;70;
18;1;2;18;5;1241;100;15;0;
18;1;2;18;5;1241;100;6;73;
18;1;2;18;3;88;100;2;100;
18;1;2;18;4;336;100;1;100;
18;1;2;18;3;88;100;15;0;
18;1;2;18;3;88;100;17;0;
18;1;2;18;3;88;100;16;0;
18;1;2;18;3;88;100;13;0;
18;1;2;18;1;3;100;10;0;
18;1;2;18;4;336;100;11;0;
18;1;2;18;4;336;100;14;0;
18;1;2;18;4;336;100;2;100;
18;1;2;18;5;1241;100;2;100;
18;1;2;18;1;3;100;3;8;
18;1;2;18;2;20;100;5;6;
18;1;2;18;3;88;100;3;98;
18;1;2;18;4;336;100;4;98;
18;1;2;18;2;20;100;10;0;
18;1;2;18;3;88;100;4;63;
18;1;2;18;3;88;100;5;19;
18;1;2;18;2;20;100;13;0;
18;1;2;18;5;1241;100;11;0;
18;1;2;18;3;88;100;14;0;
18;1;2;18;4;336;100;0;100;
18;1;2;18;5;1241;100;0;100;
18;1;2;18;3;88;100;0;100;
18;1;2;18;2;20;100;4;19;
18;1;2;18;1;3;100;9;0;
18;1;2;18;4;336;100;17;0;
18;1;2;18;5;1241;100;13;0;
18;1;2;18;1;3;100;15;0;
18;1;2;18;4;336;100;8;3;
18;1;2;18;4;336;100;6;31;
18;1;2;18;1;3;100;6;0;
18;1;2;18;1;3;100;2;19;
18;1;2;18;5;1241;100;7;31;
18;1;2;18;2;20;100;7;0;
18;1;2;18;1;3;100;14;0;
18;1;2;18;5;1241;100;5;100;
18;1;2;18;5;1241;100;16;0;
18;1;2;18;2;20;100;11;0;
18;1;2;18;2;20;100;15;0;
18;1;2;18;1;3;100;16;0;
18;1;2;18;4;336;100;10;1;
18;1;2;18;3;88;100;6;10;
18;1;2;18;2;20;100;9;1;
18;1;2;18;2;20;100;0;100;
18;1;2;18;2;20;100;6;0;
18;1;2;18;2;20;100;8;0;
18;1;2;18;4;336;100;13;0;
18;1;2;18;2;20;100;1;100;
18;1;2;18;4;336;100;7;11;
18;1;2;18;4;336;100;12;0;
18;1;2;18;4;336;100;15;0;
18;1;2;18;1;3;100;5;1;
18;1;2;18;1;3;100;4;3;
18;1;2;18;5;1241;100;10;2;
18;1;2;18;2;20;100;14;0;
