NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;4;1;30;5;23369;100;1;100;
30;4;1;30;1;5;100;15;1;
30;4;1;30;4;3589;100;8;100;
30;4;1;30;5;23369;100;15;100;
30;4;1;30;2;63;100;17;32;
30;4;1;30;3;495;100;3;100;
30;4;1;30;2;63;100;29;1;
30;4;1;30;3;495;100;5;100;
30;4;1;30;2;63;100;25;3;
30;4;1;30;5;23369;100;13;100;
30;4;1;30;3;495;100;13;100;
30;4;1;30;4;3589;100;11;100;
30;4;1;30;5;23369;100;27;100;
30;4;1;30;5;23369;100;7;100;
30;4;1;30;1;5;100;0;100;
30;4;1;30;2;63;100;3;100;
30;4;1;30;3;495;100;26;29;
30;4;1;30;4;3589;100;12;100;
30;4;1;30;4;3589;100;16;100;
30;4;1;30;5;23369;100;16;100;
30;4;1;30;5;23369;100;26;100;
30;4;1;30;1;5;100;27;2;
30;4;1;30;3;495;100;14;98;
30;4;1;30;1;5;100;20;1;
30;4;1;30;2;63;100;1;100;
30;4;1;30;3;495;100;20;77;
30;4;1;30;4;3589;100;3;100;
30;4;1;30;5;23369;100;2;100;
30;4;1;30;5;23369;100;28;100;
30;4;1;30;1;5;100;4;46;
30;4;1;30;4;3589;100;9;100;
30;4;1;30;3;495;100;17;96;
30;4;1;30;1;5;100;9;12;
30;4;1;30;4;3589;100;25;92;
30;4;1;30;1;5;100;6;27;
30;4;1;30;1;5;100;28;0;
30;4;1;30;4;3589;100;4;100;
30;4;1;30;1;5;100;22;1;
30;4;1;30;1;5;100;8;21;
30;4;1;30;2;63;100;18;11;
30;4;1;30;4;3589;100;15;100;
30;4;1;30;1;5;100;12;8;
30;4;1;30;4;3589;100;0;100;
30;4;1;30;2;63;100;15;37;
30;4;1;30;3;495;100;11;100;
30;4;1;30;5;23369;100;8;100;
30;4;1;30;3;495;100;15;98;
30;4;1;30;2;63;100;10;70;
30;4;1;30;4;3589;100;26;88;
30;4;1;30;5;23369;100;0;100;
30;4;1;30;3;495;100;4;100;
30;4;1;30;4;3589;100;20;100;
30;4;1;30;2;63;100;13;55;
30;4;1;30;4;3589;100;27;79;
30;4;1;30;5;23369;100;6;100;
30;4;1;30;2;63;100;2;100;
30;4;1;30;2;63;100;20;9;
30;4;1;30;2;63;100;9;82;
30;4;1;30;3;495;100;0;100;
