NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;2;1;30;2;23;100;27;1;
30;2;1;30;3;106;100;3;100;
30;2;1;30;5;1715;100;18;34;
30;2;1;30;1;3;100;10;1;
30;2;1;30;5;1715;100;23;5;
30;2;1;30;3;106;100;25;2;
30;2;1;30;4;446;100;23;2;
30;2;1;30;2;23;100;2;100;
30;2;1;30;3;106;100;21;0;
30;2;1;30;3;106;100;29;0;
30;2;1;30;1;3;100;16;0;
30;2;1;30;2;23;100;24;0;
30;2;1;30;2;23;100;21;0;
30;2;1;30;5;1715;100;19;19;
30;2;1;30;5;1715;100;3;100;
30;2;1;30;5;1715;100;2;100;
30;2;1;30;3;106;100;26;0;
30;2;1;30;5;1715;100;8;100;
30;2;1;30;3;106;100;20;3;
30;2;1;30;5;1715;100;9;100;
30;2;1;30;5;1715;100;20;14;
30;2;1;30;2;23;100;15;4;
30;2;1;30;5;1715;100;0;100;
30;2;1;30;4;446;100;27;0;
30;2;1;30;5;1715;100;6;100;
30;2;1;30;4;446;100;17;16;
30;2;1;30;5;1715;100;17;44;
30;2;1;30;3;106;100;24;0;
30;2;1;30;4;446;100;16;18;
30;2;1;30;1;3;100;19;0;
30;2;1;30;4;446;100;9;99;
30;2;1;30;1;3;100;0;100;
30;2;1;30;3;106;100;10;56;
30;2;1;30;4;446;100;14;39;
30;2;1;30;3;106;100;9;55;
30;2;1;30;2;23;100;14;3;
30;2;1;30;4;446;100;11;83;
30;2;1;30;2;23;100;3;95;
30;2;1;30;1;3;100;24;0;
30;2;1;30;2;23;100;11;8;
30;2;1;30;5;1715;100;16;61;
30;2;1;30;4;446;100;22;2;
30;2;1;30;1;3;100;23;0;
30;2;1;30;4;446;100;19;6;
30;2;1;30;1;3;100;7;3;
30;2;1;30;2;23;100;17;2;
30;2;1;30;2;23;100;5;66;
30;2;1;30;3;106;100;14;12;
30;2;1;30;4;446;100;4;100;
30;2;1;30;1;3;100;12;1;
30;2;1;30;1;3;100;13;0;
30;2;1;30;1;3;100;6;9;
30;2;1;30;1;3;100;11;2;
30;2;1;30;1;3;100;5;17;
30;2;1;30;5;1715;100;12;100;
30;2;1;30;1;3;100;14;0;
30;2;1;30;2;23;100;22;1;
30;2;1;30;4;446;100;28;0;
30;2;1;30;1;3;100;26;0;
30;2;1;30;1;3;100;15;0;
30;2;1;30;4;446;100;1;100;
30;2;1;30;1;3;100;20;0;
30;2;1;30;4;446;100;2;100;
30;2;1;30;2;23;100;26;0;
30;2;1;30;1;3;100;21;0;
30;2;1;30;4;446;100;18;10;
30;2;1;30;1;3;100;29;0;
30;2;1;30;4;446;100;21;3;
30;2;1;30;1;3;100;3;32;
30;2;1;30;5;1715;100;13;97;
30;2;1;30;1;3;100;9;0;
30;2;1;30;1;3;100;2;49;
30;2;1;30;3;106;100;0;100;
30;2;1;30;2;23;100;29;0;
