NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
6;2;2;6;3;109;100;0;100;
6;2;2;6;2;24;100;1;100;
6;2;2;6;5;1377;100;1;100;
6;2;2;6;2;24;100;5;29;
6;2;2;6;5;1377;100;0;100;
6;2;2;6;5;1377;100;4;100;
6;2;2;6;2;24;100;4;62;
6;2;2;6;4;442;100;3;100;
6;2;2;6;3;109;100;3;100;
6;2;2;6;1;4;100;3;26;
6;2;2;6;1;4;100;4;16;
6;2;2;6;2;24;100;0;100;
6;2;2;6;5;1377;100;2;100;
6;2;2;6;1;4;100;1;86;
6;2;2;6;5;1377;100;3;100;
6;2;2;6;4;442;100;4;100;
6;2;2;6;4;442;100;2;100;
6;2;2;6;3;109;100;4;100;
6;2;2;6;4;442;100;0;100;
6;2;2;6;3;109;100;5;88;
6;2;2;6;4;442;100;1;100;
6;2;2;6;1;4;100;2;51;
6;2;2;6;3;109;100;1;100;
6;2;2;6;1;4;100;5;6;
6;2;2;6;1;4;100;0;100;
6;2;2;6;4;442;100;5;100;
6;2;2;6;3;109;100;2;100;
6;2;2;6;2;24;100;2;100;
6;2;2;6;5;1377;100;5;100;
6;2;2;6;2;24;100;3;86;
