NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;1;4;18;5;16843;100;11;0;
18;1;4;18;1;5;100;5;0;
18;1;4;18;2;54;100;16;0;
18;1;4;18;4;2725;100;9;0;
18;1;4;18;2;54;100;15;0;
18;1;4;18;5;16843;100;7;18;
18;1;4;18;1;5;100;16;0;
18;1;4;18;3;401;100;3;99;
18;1;4;18;4;2725;100;8;0;
18;1;4;18;4;2725;100;1;100;
18;1;4;18;1;5;100;15;0;
18;1;4;18;5;16843;100;5;100;
18;1;4;18;1;5;100;9;0;
18;1;4;18;5;16843;100;0;100;
18;1;4;18;2;54;100;9;0;
18;1;4;18;4;2725;100;11;0;
18;1;4;18;5;16843;100;2;100;
18;1;4;18;1;5;100;2;17;
18;1;4;18;1;5;100;10;0;
18;1;4;18;4;2725;100;4;100;
18;1;4;18;3;401;100;1;100;
18;1;4;18;1;5;100;6;0;
18;1;4;18;4;2725;100;10;0;
18;1;4;18;4;2725;100;17;0;
18;1;4;18;3;401;100;9;0;
18;1;4;18;5;16843;100;14;0;
18;1;4;18;5;16843;100;1;100;
18;1;4;18;2;54;100;8;0;
18;1;4;18;1;5;100;1;76;
18;1;4;18;3;401;100;14;0;
18;1;4;18;5;16843;100;12;0;
18;1;4;18;1;5;100;12;0;
18;1;4;18;3;401;100;12;0;
18;1;4;18;4;2725;100;7;4;
18;1;4;18;2;54;100;11;0;
18;1;4;18;4;2725;100;15;0;
18;1;4;18;2;54;100;5;1;
18;1;4;18;3;401;100;10;0;
18;1;4;18;3;401;100;17;0;
18;1;4;18;4;2725;100;5;45;
18;1;4;18;4;2725;100;6;9;
18;1;4;18;1;5;100;11;0;
18;1;4;18;1;5;100;8;0;
18;1;4;18;2;54;100;6;0;
18;1;4;18;4;2725;100;0;100;
18;1;4;18;3;401;100;7;0;
18;1;4;18;3;401;100;15;0;
18;1;4;18;1;5;100;14;0;
18;1;4;18;1;5;100;4;1;
18;1;4;18;3;401;100;2;100;
18;1;4;18;2;54;100;14;0;
18;1;4;18;5;16843;100;6;54;
18;1;4;18;2;54;100;2;93;
18;1;4;18;5;16843;100;17;0;
18;1;4;18;3;401;100;11;0;
18;1;4;18;2;54;100;13;0;
18;1;4;18;5;16843;100;13;0;
18;1;4;18;5;16843;100;4;100;
18;1;4;18;3;401;100;16;0;
18;1;4;18;2;54;100;4;4;
18;1;4;18;3;401;100;8;0;
18;1;4;18;1;5;100;7;0;
18;1;4;18;5;16843;100;16;0;
18;1;4;18;3;401;100;4;38;
18;1;4;18;4;2725;100;2;100;
18;1;4;18;2;54;100;3;35;
18;1;4;18;1;5;100;13;0;
18;1;4;18;4;2725;100;3;100;
18;1;4;18;4;2725;100;14;0;
18;1;4;18;2;54;100;1;100;
18;1;4;18;2;54;100;7;0;
18;1;4;18;4;2725;100;12;0;
18;1;4;18;3;401;100;5;9;
18;1;4;18;3;401;100;6;1;
18;1;4;18;1;5;100;3;4;
18;1;4;18;2;54;100;12;0;
18;1;4;18;3;401;100;0;100;
18;1;4;18;1;5;100;17;0;
18;1;4;18;3;401;100;13;0;
18;1;4;18;2;54;100;0;100;
18;1;4;18;4;2725;100;16;0;
18;1;4;18;5;16843;100;3;100;
18;1;4;18;1;5;100;0;100;
18;1;4;18;5;16843;100;15;0;
18;1;4;18;5;16843;100;8;4;
18;1;4;18;2;54;100;17;0;
18;1;4;18;4;2725;100;13;0;
18;1;4;18;5;16843;100;9;0;
18;1;4;18;5;16843;100;10;0;
18;1;4;18;2;54;100;10;0;
