NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;1;1;12;5;105;100;3;100;
12;1;1;12;3;19;100;11;1;
12;1;1;12;5;105;100;0;100;
12;1;1;12;5;105;100;11;2;
12;1;1;12;5;105;100;10;10;
12;1;1;12;1;2;100;10;0;
12;1;1;12;3;19;100;4;50;
12;1;1;12;4;47;100;5;64;
12;1;1;12;2;8;100;9;0;
12;1;1;12;4;47;100;11;2;
12;1;1;12;3;19;100;2;100;
12;1;1;12;2;8;100;10;0;
12;1;1;12;2;8;100;3;43;
12;1;1;12;3;19;100;9;2;
12;1;1;12;1;2;100;1;53;
12;1;1;12;3;19;100;8;4;
12;1;1;12;1;2;100;6;2;
12;1;1;12;4;47;100;0;100;
12;1;1;12;1;2;100;4;3;
12;1;1;12;5;105;100;5;94;
12;1;1;12;1;2;100;11;0;
12;1;1;12;1;2;100;5;3;
12;1;1;12;5;105;100;7;39;
12;1;1;12;4;47;100;3;100;
12;1;1;12;2;8;100;11;0;
12;1;1;12;2;8;100;8;1;
12;1;1;12;4;47;100;6;31;
12;1;1;12;5;105;100;8;21;
12;1;1;12;4;47;100;10;3;
12;1;1;12;2;8;100;5;10;
12;1;1;12;1;2;100;2;28;
12;1;1;12;2;8;100;2;63;
12;1;1;12;3;19;100;1;100;
12;1;1;12;4;47;100;4;89;
12;1;1;12;3;19;100;0;100;
12;1;1;12;2;8;100;6;8;
12;1;1;12;4;47;100;9;5;
12;1;1;12;5;105;100;9;6;
12;1;1;12;1;2;100;7;0;
12;1;1;12;5;105;100;1;100;
12;1;1;12;2;8;100;1;100;
12;1;1;12;5;105;100;2;100;
12;1;1;12;5;105;100;4;100;
12;1;1;12;2;8;100;4;23;
12;1;1;12;3;19;100;3;86;
12;1;1;12;3;19;100;6;17;
12;1;1;12;2;8;100;0;100;
12;1;1;12;4;47;100;8;7;
12;1;1;12;4;47;100;1;100;
12;1;1;12;2;8;100;7;6;
12;1;1;12;3;19;100;10;2;
12;1;1;12;4;47;100;7;23;
12;1;1;12;1;2;100;8;0;
12;1;1;12;1;2;100;9;0;
12;1;1;12;3;19;100;7;12;
12;1;1;12;1;2;100;3;15;
12;1;1;12;1;2;100;0;100;
12;1;1;12;4;47;100;2;100;
12;1;1;12;5;105;100;6;64;
12;1;1;12;3;19;100;5;29;
