NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;2;2;12;2;31;100;3;98;
12;2;2;12;5;3854;100;2;100;
12;2;2;12;4;835;100;1;100;
12;2;2;12;4;835;100;5;100;
12;2;2;12;1;4;100;4;8;
12;2;2;12;2;31;100;8;9;
12;2;2;12;5;3854;100;3;100;
12;2;2;12;4;835;100;8;82;
12;2;2;12;5;3854;100;8;100;
12;2;2;12;5;3854;100;6;100;
12;2;2;12;5;3854;100;11;55;
12;2;2;12;1;4;100;0;100;
12;2;2;12;2;31;100;0;100;
12;2;2;12;2;31;100;7;14;
12;2;2;12;2;31;100;4;67;
12;2;2;12;4;835;100;6;99;
12;2;2;12;5;3854;100;4;100;
12;2;2;12;3;170;100;1;100;
12;2;2;12;5;3854;100;7;100;
12;2;2;12;3;170;100;3;100;
12;2;2;12;2;31;100;10;1;
12;2;2;12;4;835;100;2;100;
12;2;2;12;1;4;100;3;24;
12;2;2;12;4;835;100;4;100;
12;2;2;12;1;4;100;11;0;
12;2;2;12;1;4;100;5;7;
12;2;2;12;3;170;100;6;80;
12;2;2;12;1;4;100;7;0;
12;2;2;12;4;835;100;11;15;
12;2;2;12;4;835;100;3;100;
12;2;2;12;3;170;100;2;100;
12;2;2;12;3;170;100;8;25;
12;2;2;12;3;170;100;4;100;
12;2;2;12;5;3854;100;0;100;
12;2;2;12;3;170;100;10;9;
12;2;2;12;3;170;100;11;6;
12;2;2;12;4;835;100;0;100;
12;2;2;12;5;3854;100;1;100;
12;2;2;12;5;3854;100;9;99;
12;2;2;12;2;31;100;9;2;
12;2;2;12;2;31;100;1;100;
12;2;2;12;2;31;100;6;23;
12;2;2;12;1;4;100;6;3;
12;2;2;12;2;31;100;5;44;
12;2;2;12;4;835;100;7;98;
12;2;2;12;2;31;100;2;100;
12;2;2;12;5;3854;100;5;100;
12;2;2;12;3;170;100;0;100;
12;2;2;12;1;4;100;10;0;
12;2;2;12;5;3854;100;10;82;
12;2;2;12;3;170;100;5;97;
12;2;2;12;1;4;100;1;87;
12;2;2;12;1;4;100;2;45;
12;2;2;12;3;170;100;7;50;
12;2;2;12;1;4;100;9;1;
12;2;2;12;1;4;100;8;2;
12;2;2;12;3;170;100;9;12;
12;2;2;12;2;31;100;11;1;
12;2;2;12;4;835;100;10;30;
12;2;2;12;4;835;100;9;53;
