NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;4;1;24;2;59;100;9;77;
24;4;1;24;3;454;100;19;77;
24;4;1;24;1;5;100;15;5;
24;4;1;24;5;20482;100;9;100;
24;4;1;24;2;59;100;4;100;
24;4;1;24;2;59;100;19;16;
24;4;1;24;5;20482;100;4;100;
24;4;1;24;4;3203;100;0;100;
24;4;1;24;4;3203;100;15;100;
24;4;1;24;2;59;100;14;40;
24;4;1;24;1;5;100;11;8;
24;4;1;24;5;20482;100;17;100;
24;4;1;24;3;454;100;1;100;
24;4;1;24;3;454;100;12;100;
24;4;1;24;2;59;100;8;95;
24;4;1;24;4;3203;100;17;100;
24;4;1;24;2;59;100;20;14;
24;4;1;24;3;454;100;21;55;
24;4;1;24;4;3203;100;2;100;
24;4;1;24;3;454;100;10;100;
24;4;1;24;2;59;100;16;28;
24;4;1;24;4;3203;100;1;100;
24;4;1;24;3;454;100;13;100;
24;4;1;24;1;5;100;6;31;
24;4;1;24;1;5;100;2;68;
24;4;1;24;5;20482;100;5;100;
24;4;1;24;5;20482;100;19;100;
24;4;1;24;4;3203;100;19;100;
24;4;1;24;1;5;100;19;0;
24;4;1;24;4;3203;100;18;100;
24;4;1;24;1;5;100;14;6;
24;4;1;24;5;20482;100;10;100;
24;4;1;24;4;3203;100;9;100;
24;4;1;24;5;20482;100;22;100;
24;4;1;24;5;20482;100;0;100;
24;4;1;24;3;454;100;20;63;
24;4;1;24;3;454;100;23;34;
24;4;1;24;5;20482;100;6;100;
24;4;1;24;5;20482;100;18;100;
24;4;1;24;3;454;100;9;100;
24;4;1;24;5;20482;100;23;100;
24;4;1;24;4;3203;100;11;100;
24;4;1;24;4;3203;100;4;100;
24;4;1;24;5;20482;100;11;100;
24;4;1;24;3;454;100;6;100;
24;4;1;24;5;20482;100;13;100;
24;4;1;24;5;20482;100;1;100;
24;4;1;24;1;5;100;3;54;
24;4;1;24;5;20482;100;8;100;
24;4;1;24;2;59;100;11;70;
24;4;1;24;3;454;100;8;100;
24;4;1;24;3;454;100;17;89;
24;4;1;24;3;454;100;16;96;
24;4;1;24;2;59;100;22;9;
24;4;1;24;5;20482;100;20;100;
24;4;1;24;1;5;100;1;79;
24;4;1;24;5;20482;100;15;100;
24;4;1;24;4;3203;100;12;100;
24;4;1;24;2;59;100;2;100;
24;4;1;24;2;59;100;3;100;
24;4;1;24;1;5;100;7;13;
24;4;1;24;3;454;100;5;100;
24;4;1;24;3;454;100;15;97;
24;4;1;24;2;59;100;13;47;
24;4;1;24;1;5;100;18;1;
24;4;1;24;2;59;100;6;98;
24;4;1;24;5;20482;100;14;100;
24;4;1;24;2;59;100;5;100;
24;4;1;24;2;59;100;18;21;
24;4;1;24;1;5;100;16;0;
24;4;1;24;4;3203;100;5;100;
24;4;1;24;1;5;100;13;5;
24;4;1;24;5;20482;100;16;100;
24;4;1;24;3;454;100;4;100;
24;4;1;24;2;59;100;0;100;
24;4;1;24;2;59;100;23;6;
24;4;1;24;4;3203;100;20;100;
24;4;1;24;1;5;100;17;0;
24;4;1;24;5;20482;100;7;100;
24;4;1;24;4;3203;100;8;100;
24;4;1;24;4;3203;100;6;100;
24;4;1;24;4;3203;100;22;100;
24;4;1;24;1;5;100;21;1;
24;4;1;24;5;20482;100;12;100;
24;4;1;24;1;5;100;9;15;
24;4;1;24;2;59;100;17;21;
24;4;1;24;2;59;100;15;30;
24;4;1;24;2;59;100;7;96;
24;4;1;24;3;454;100;3;100;
24;4;1;24;4;3203;100;7;100;
24;4;1;24;1;5;100;12;9;
24;4;1;24;3;454;100;22;57;
24;4;1;24;4;3203;100;13;100;
24;4;1;24;5;20482;100;3;100;
24;4;1;24;1;5;100;20;1;
24;4;1;24;1;5;100;22;0;
24;4;1;24;1;5;100;10;11;
24;4;1;24;4;3203;100;21;99;
24;4;1;24;5;20482;100;2;100;
24;4;1;24;4;3203;100;14;100;
24;4;1;24;1;5;100;23;0;
24;4;1;24;1;5;100;4;34;
24;4;1;24;2;59;100;12;50;
24;4;1;24;3;454;100;7;100;
24;4;1;24;3;454;100;11;100;
24;4;1;24;2;59;100;21;6;
24;4;1;24;2;59;100;1;100;
24;4;1;24;1;5;100;8;23;
24;4;1;24;3;454;100;0;100;
24;4;1;24;5;20482;100;21;100;
24;4;1;24;4;3203;100;16;100;
24;4;1;24;3;454;100;2;100;
24;4;1;24;4;3203;100;3;100;
24;4;1;24;4;3203;100;23;98;
24;4;1;24;1;5;100;0;100;
24;4;1;24;2;59;100;10;82;
24;4;1;24;3;454;100;18;85;
24;4;1;24;1;5;100;5;35;
24;4;1;24;3;454;100;14;99;
24;4;1;24;4;3203;100;10;100;
