NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
6;1;4;6;5;4195;100;4;100;
6;1;4;6;4;1059;100;1;100;
6;1;4;6;2;38;100;0;100;
6;1;4;6;5;4195;100;3;100;
6;1;4;6;3;209;100;5;5;
6;1;4;6;3;209;100;2;100;
6;1;4;6;1;5;100;2;18;
6;1;4;6;5;4195;100;0;100;
6;1;4;6;2;38;100;1;100;
6;1;4;6;5;4195;100;1;100;
6;1;4;6;3;209;100;0;100;
6;1;4;6;4;1059;100;2;100;
6;1;4;6;4;1059;100;5;22;
6;1;4;6;5;4195;100;2;100;
6;1;4;6;2;38;100;3;24;
6;1;4;6;3;209;100;3;90;
6;1;4;6;5;4195;100;5;84;
6;1;4;6;4;1059;100;4;90;
6;1;4;6;4;1059;100;0;100;
6;1;4;6;1;5;100;4;1;
6;1;4;6;1;5;100;3;1;
6;1;4;6;1;5;100;5;0;
6;1;4;6;2;38;100;5;0;
6;1;4;6;4;1059;100;3;100;
6;1;4;6;3;209;100;4;30;
6;1;4;6;2;38;100;2;92;
6;1;4;6;2;38;100;4;4;
6;1;4;6;1;5;100;1;85;
6;1;4;6;3;209;100;1;100;
6;1;4;6;1;5;100;0;100;
