NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;3;1;30;2;41;100;12;29;
30;3;1;30;2;41;100;24;1;
30;3;1;30;4;1448;100;23;33;
30;3;1;30;5;7555;100;19;100;
30;3;1;30;1;4;100;25;1;
30;3;1;30;3;255;100;5;100;
30;3;1;30;4;1448;100;6;100;
30;3;1;30;4;1448;100;12;100;
30;3;1;30;4;1448;100;13;100;
30;3;1;30;2;41;100;1;100;
30;3;1;30;2;41;100;19;6;
30;3;1;30;2;41;100;6;85;
30;3;1;30;5;7555;100;24;89;
30;3;1;30;1;4;100;11;3;
30;3;1;30;4;1448;100;9;100;
30;3;1;30;1;4;100;7;9;
30;3;1;30;5;7555;100;1;100;
30;3;1;30;3;255;100;22;13;
30;3;1;30;3;255;100;3;100;
30;3;1;30;2;41;100;27;1;
30;3;1;30;2;41;100;21;2;
30;3;1;30;4;1448;100;0;100;
30;3;1;30;4;1448;100;3;100;
30;3;1;30;5;7555;100;13;100;
30;3;1;30;2;41;100;17;2;
30;3;1;30;3;255;100;10;100;
30;3;1;30;1;4;100;1;72;
30;3;1;30;4;1448;100;17;95;
30;3;1;30;5;7555;100;17;100;
30;3;1;30;5;7555;100;3;100;
30;3;1;30;5;7555;100;15;100;
30;3;1;30;2;41;100;23;0;
30;3;1;30;3;255;100;4;100;
30;3;1;30;4;1448;100;26;11;
30;3;1;30;1;4;100;21;1;
30;3;1;30;3;255;100;23;13;
30;3;1;30;2;41;100;5;96;
30;3;1;30;1;4;100;16;0;
30;3;1;30;5;7555;100;7;100;
30;3;1;30;3;255;100;13;77;
30;3;1;30;1;4;100;2;68;
30;3;1;30;5;7555;100;22;98;
30;3;1;30;1;4;100;14;2;
30;3;1;30;1;4;100;29;0;
30;3;1;30;2;41;100;14;21;
30;3;1;30;3;255;100;16;50;
30;3;1;30;1;4;100;4;31;
30;3;1;30;2;41;100;3;100;
30;3;1;30;5;7555;100;5;100;
30;3;1;30;3;255;100;15;62;
30;3;1;30;4;1448;100;28;13;
30;3;1;30;2;41;100;16;9;
30;3;1;30;3;255;100;17;38;
30;3;1;30;5;7555;100;4;100;
30;3;1;30;2;41;100;11;34;
30;3;1;30;4;1448;100;22;48;
30;3;1;30;4;1448;100;25;23;
30;3;1;30;3;255;100;26;4;
30;3;1;30;3;255;100;28;2;
30;3;1;30;2;41;100;2;100;
30;3;1;30;1;4;100;3;47;
30;3;1;30;5;7555;100;12;100;
30;3;1;30;2;41;100;28;0;
30;3;1;30;4;1448;100;8;100;
30;3;1;30;1;4;100;5;21;
30;3;1;30;3;255;100;7;100;
30;3;1;30;4;1448;100;20;74;
30;3;1;30;5;7555;100;9;100;
30;3;1;30;1;4;100;26;0;
30;3;1;30;1;4;100;6;20;
30;3;1;30;4;1448;100;2;100;
30;3;1;30;5;7555;100;10;100;
30;3;1;30;5;7555;100;29;33;
30;3;1;30;2;41;100;7;72;
30;3;1;30;5;7555;100;28;48;
30;3;1;30;3;255;100;29;2;
30;3;1;30;3;255;100;12;94;
30;3;1;30;2;41;100;15;12;
30;3;1;30;2;41;100;26;1;
30;3;1;30;3;255;100;1;100;
30;3;1;30;1;4;100;9;5;
30;3;1;30;4;1448;100;24;31;
30;3;1;30;1;4;100;20;0;
30;3;1;30;2;41;100;20;3;
30;3;1;30;3;255;100;21;12;
30;3;1;30;3;255;100;19;25;
30;3;1;30;4;1448;100;14;100;
30;3;1;30;4;1448;100;16;97;
30;3;1;30;5;7555;100;0;100;
30;3;1;30;1;4;100;8;13;
30;3;1;30;3;255;100;18;29;
30;3;1;30;2;41;100;9;54;
30;3;1;30;5;7555;100;6;100;
30;3;1;30;1;4;100;13;2;
30;3;1;30;1;4;100;28;0;
30;3;1;30;5;7555;100;21;99;
30;3;1;30;5;7555;100;20;100;
30;3;1;30;3;255;100;6;100;
30;3;1;30;1;4;100;22;0;
30;3;1;30;3;255;100;9;100;
30;3;1;30;5;7555;100;14;100;
30;3;1;30;4;1448;100;10;100;
30;3;1;30;2;41;100;25;0;
30;3;1;30;5;7555;100;26;63;
30;3;1;30;2;41;100;18;7;
30;3;1;30;3;255;100;24;5;
30;3;1;30;2;41;100;13;18;
30;3;1;30;2;41;100;0;100;
30;3;1;30;3;255;100;8;100;
30;3;1;30;2;41;100;8;65;
30;3;1;30;1;4;100;27;0;
30;3;1;30;3;255;100;11;98;
30;3;1;30;4;1448;100;19;74;
30;3;1;30;4;1448;100;29;7;
30;3;1;30;3;255;100;25;6;
30;3;1;30;5;7555;100;23;91;
30;3;1;30;2;41;100;10;52;
30;3;1;30;5;7555;100;25;82;
30;3;1;30;4;1448;100;1;100;
30;3;1;30;4;1448;100;21;51;
30;3;1;30;5;7555;100;11;100;
30;3;1;30;4;1448;100;18;86;
30;3;1;30;1;4;100;0;100;
30;3;1;30;1;4;100;23;0;
30;3;1;30;4;1448;100;5;100;
30;3;1;30;1;4;100;18;1;
30;3;1;30;3;255;100;0;100;
30;3;1;30;5;7555;100;27;53;
30;3;1;30;3;255;100;14;85;
30;3;1;30;4;1448;100;7;100;
30;3;1;30;1;4;100;17;0;
30;3;1;30;4;1448;100;27;15;
30;3;1;30;1;4;100;10;4;
30;3;1;30;5;7555;100;2;100;
30;3;1;30;2;41;100;22;1;
30;3;1;30;3;255;100;2;100;
30;3;1;30;3;255;100;27;5;
30;3;1;30;5;7555;100;8;100;
30;3;1;30;1;4;100;15;2;
30;3;1;30;4;1448;100;4;100;
30;3;1;30;2;41;100;29;1;
30;3;1;30;1;4;100;19;1;
30;3;1;30;4;1448;100;15;98;
30;3;1;30;1;4;100;24;0;
30;3;1;30;5;7555;100;16;100;
30;3;1;30;3;255;100;20;16;
30;3;1;30;2;41;100;4;100;
30;3;1;30;5;7555;100;18;100;
30;3;1;30;1;4;100;12;2;
30;3;1;30;4;1448;100;11;100;
