NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;5;1;24;4;6662;100;17;100;
24;5;1;24;2;83;100;2;100;
24;5;1;24;2;83;100;14;68;
24;5;1;24;5;51287;100;16;100;
24;5;1;24;1;6;100;11;15;
24;5;1;24;1;6;100;12;10;
24;5;1;24;1;6;100;21;3;
24;5;1;24;1;6;100;10;19;
24;5;1;24;4;6662;100;22;100;
24;5;1;24;3;786;100;9;100;
24;5;1;24;4;6662;100;13;100;
24;5;1;24;5;51287;100;13;100;
24;5;1;24;3;786;100;19;97;
24;5;1;24;2;83;100;9;96;
24;5;1;24;1;6;100;18;1;
24;5;1;24;3;786;100;5;100;
24;5;1;24;5;51287;100;9;100;
24;5;1;24;5;51287;100;1;100;
24;5;1;24;3;786;100;15;100;
24;5;1;24;5;51287;100;20;100;
24;5;1;24;1;6;100;0;100;
24;5;1;24;4;6662;100;21;100;
24;5;1;24;2;83;100;7;99;
24;5;1;24;4;6662;100;0;100;
24;5;1;24;4;6662;100;8;100;
24;5;1;24;3;786;100;14;100;
24;5;1;24;2;83;100;13;69;
24;5;1;24;2;83;100;8;99;
24;5;1;24;2;83;100;21;31;
24;5;1;24;3;786;100;3;100;
24;5;1;24;4;6662;100;15;100;
24;5;1;24;1;6;100;5;42;
24;5;1;24;3;786;100;22;90;
24;5;1;24;4;6662;100;3;100;
24;5;1;24;1;6;100;9;20;
24;5;1;24;5;51287;100;19;100;
24;5;1;24;1;6;100;4;54;
24;5;1;24;2;83;100;11;90;
24;5;1;24;5;51287;100;4;100;
24;5;1;24;4;6662;100;9;100;
24;5;1;24;3;786;100;18;100;
24;5;1;24;5;51287;100;10;100;
24;5;1;24;3;786;100;10;100;
24;5;1;24;3;786;100;2;100;
24;5;1;24;2;83;100;6;100;
24;5;1;24;5;51287;100;18;100;
24;5;1;24;5;51287;100;5;100;
24;5;1;24;4;6662;100;7;100;
24;5;1;24;4;6662;100;20;100;
24;5;1;24;5;51287;100;12;100;
24;5;1;24;2;83;100;0;100;
24;5;1;24;3;786;100;23;92;
24;5;1;24;5;51287;100;2;100;
24;5;1;24;1;6;100;17;8;
24;5;1;24;2;83;100;10;97;
24;5;1;24;2;83;100;16;58;
24;5;1;24;4;6662;100;18;100;
24;5;1;24;4;6662;100;10;100;
24;5;1;24;4;6662;100;1;100;
24;5;1;24;2;83;100;22;28;
24;5;1;24;2;83;100;3;100;
24;5;1;24;4;6662;100;4;100;
24;5;1;24;4;6662;100;2;100;
24;5;1;24;3;786;100;0;100;
24;5;1;24;1;6;100;13;7;
24;5;1;24;5;51287;100;22;100;
24;5;1;24;1;6;100;8;20;
24;5;1;24;5;51287;100;14;100;
24;5;1;24;1;6;100;20;2;
24;5;1;24;4;6662;100;5;100;
24;5;1;24;1;6;100;22;0;
24;5;1;24;3;786;100;20;96;
24;5;1;24;3;786;100;12;100;
24;5;1;24;5;51287;100;0;100;
24;5;1;24;2;83;100;15;73;
24;5;1;24;2;83;100;18;37;
24;5;1;24;3;786;100;17;99;
24;5;1;24;5;51287;100;6;100;
24;5;1;24;5;51287;100;3;100;
24;5;1;24;5;51287;100;23;100;
24;5;1;24;2;83;100;19;36;
24;5;1;24;1;6;100;16;1;
24;5;1;24;4;6662;100;14;100;
24;5;1;24;5;51287;100;7;100;
24;5;1;24;3;786;100;7;100;
24;5;1;24;4;6662;100;19;100;
24;5;1;24;1;6;100;3;60;
24;5;1;24;2;83;100;23;20;
24;5;1;24;3;786;100;6;100;
24;5;1;24;3;786;100;4;100;
24;5;1;24;3;786;100;13;100;
24;5;1;24;3;786;100;16;100;
24;5;1;24;2;83;100;1;100;
24;5;1;24;4;6662;100;11;100;
24;5;1;24;3;786;100;1;100;
24;5;1;24;4;6662;100;23;100;
24;5;1;24;5;51287;100;8;100;
24;5;1;24;1;6;100;6;33;
24;5;1;24;5;51287;100;17;100;
24;5;1;24;2;83;100;5;100;
24;5;1;24;3;786;100;21;98;
24;5;1;24;2;83;100;17;46;
24;5;1;24;5;51287;100;21;100;
24;5;1;24;3;786;100;11;100;
24;5;1;24;2;83;100;12;80;
24;5;1;24;1;6;100;14;3;
24;5;1;24;4;6662;100;16;100;
24;5;1;24;2;83;100;20;32;
24;5;1;24;2;83;100;4;100;
24;5;1;24;1;6;100;2;59;
24;5;1;24;1;6;100;1;87;
24;5;1;24;1;6;100;7;28;
24;5;1;24;1;6;100;19;3;
24;5;1;24;3;786;100;8;100;
24;5;1;24;4;6662;100;6;100;
24;5;1;24;5;51287;100;15;100;
24;5;1;24;1;6;100;15;11;
24;5;1;24;5;51287;100;11;100;
24;5;1;24;4;6662;100;12;100;
24;5;1;24;1;6;100;23;1;
