NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
30;1;2;30;5;1715;100;11;0;
30;1;2;30;5;1715;100;17;0;
30;1;2;30;3;106;100;22;0;
30;1;2;30;3;106;100;0;100;
30;1;2;30;4;446;100;8;4;
30;1;2;30;3;106;100;28;0;
30;1;2;30;4;446;100;27;0;
30;1;2;30;2;23;100;10;0;
30;1;2;30;3;106;100;18;0;
30;1;2;30;3;106;100;12;0;
30;1;2;30;1;3;100;23;0;
30;1;2;30;5;1715;100;1;100;
30;1;2;30;1;3;100;9;0;
30;1;2;30;3;106;100;8;1;
30;1;2;30;4;446;100;26;0;
30;1;2;30;2;23;100;29;0;
30;1;2;30;3;106;100;14;0;
30;1;2;30;2;23;100;25;0;
30;1;2;30;1;3;100;7;1;
30;1;2;30;4;446;100;6;35;
30;1;2;30;1;3;100;3;12;
30;1;2;30;4;446;100;4;98;
30;1;2;30;4;446;100;3;100;
30;1;2;30;2;23;100;3;45;
30;1;2;30;1;3;100;27;0;
30;1;2;30;5;1715;100;21;0;
30;1;2;30;2;23;100;16;0;
30;1;2;30;1;3;100;18;0;
30;1;2;30;2;23;100;0;100;
30;1;2;30;3;106;100;10;0;
30;1;2;30;2;23;100;20;0;
30;1;2;30;3;106;100;27;0;
30;1;2;30;5;1715;100;22;0;
30;1;2;30;1;3;100;11;0;
30;1;2;30;3;106;100;26;0;
30;1;2;30;5;1715;100;12;1;
30;1;2;30;3;106;100;7;0;
30;1;2;30;3;106;100;11;0;
30;1;2;30;5;1715;100;14;0;
30;1;2;30;3;106;100;4;62;
30;1;2;30;3;106;100;25;0;
30;1;2;30;3;106;100;29;0;
30;1;2;30;2;23;100;5;3;
30;1;2;30;5;1715;100;2;100;
30;1;2;30;5;1715;100;20;0;
30;1;2;30;3;106;100;19;0;
30;1;2;30;4;446;100;16;0;
30;1;2;30;4;446;100;2;100;
30;1;2;30;4;446;100;19;0;
30;1;2;30;2;23;100;28;0;
30;1;2;30;3;106;100;9;0;
30;1;2;30;1;3;100;13;0;
30;1;2;30;4;446;100;7;11;
30;1;2;30;5;1715;100;16;0;
30;1;2;30;5;1715;100;29;0;
30;1;2;30;1;3;100;21;0;
30;1;2;30;2;23;100;4;19;
30;1;2;30;4;446;100;0;100;
30;1;2;30;1;3;100;0;100;
30;1;2;30;1;3;100;10;0;
30;1;2;30;2;23;100;23;0;
30;1;2;30;5;1715;100;19;0;
30;1;2;30;3;106;100;6;9;
30;1;2;30;5;1715;100;3;100;
30;1;2;30;1;3;100;6;0;
30;1;2;30;5;1715;100;24;0;
30;1;2;30;5;1715;100;26;0;
30;1;2;30;2;23;100;15;0;
30;1;2;30;1;3;100;5;0;
30;1;2;30;4;446;100;22;0;
30;1;2;30;2;23;100;1;100;
30;1;2;30;5;1715;100;13;0;
30;1;2;30;1;3;100;25;0;
30;1;2;30;5;1715;100;7;46;
30;1;2;30;2;23;100;9;0;
30;1;2;30;2;23;100;11;0;
30;1;2;30;1;3;100;19;0;
30;1;2;30;4;446;100;12;0;
30;1;2;30;1;3;100;20;0;
30;1;2;30;2;23;100;6;3;
30;1;2;30;2;23;100;24;0;
30;1;2;30;2;23;100;13;0;
30;1;2;30;1;3;100;4;4;
30;1;2;30;1;3;100;14;0;
30;1;2;30;4;446;100;23;0;
30;1;2;30;3;106;100;17;0;
30;1;2;30;5;1715;100;18;0;
30;1;2;30;4;446;100;15;0;
30;1;2;30;1;3;100;28;0;
30;1;2;30;4;446;100;21;0;
30;1;2;30;5;1715;100;9;2;
30;1;2;30;4;446;100;25;0;
30;1;2;30;4;446;100;20;0;
30;1;2;30;3;106;100;24;0;
30;1;2;30;2;23;100;14;0;
30;1;2;30;1;3;100;16;0;
30;1;2;30;3;106;100;1;100;
30;1;2;30;1;3;100;12;0;
30;1;2;30;3;106;100;5;31;
30;1;2;30;1;3;100;15;0;
30;1;2;30;5;1715;100;6;76;
30;1;2;30;5;1715;100;28;0;
30;1;2;30;1;3;100;22;0;
30;1;2;30;1;3;100;1;72;
30;1;2;30;3;106;100;3;97;
30;1;2;30;3;106;100;2;100;
30;1;2;30;4;446;100;24;0;
30;1;2;30;2;23;100;18;0;
30;1;2;30;5;1715;100;23;0;
30;1;2;30;4;446;100;17;0;
30;1;2;30;5;1715;100;25;0;
30;1;2;30;3;106;100;23;0;
30;1;2;30;2;23;100;22;0;
30;1;2;30;4;446;100;29;0;
30;1;2;30;5;1715;100;27;0;
30;1;2;30;3;106;100;13;0;
30;1;2;30;1;3;100;24;0;
30;1;2;30;5;1715;100;10;1;
30;1;2;30;4;446;100;28;0;
30;1;2;30;2;23;100;2;93;
30;1;2;30;5;1715;100;8;23;
30;1;2;30;1;3;100;2;19;
30;1;2;30;2;23;100;26;0;
30;1;2;30;4;446;100;11;0;
30;1;2;30;3;106;100;21;0;
30;1;2;30;2;23;100;12;0;
30;1;2;30;4;446;100;18;0;
